ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/1/0/0,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,0,,Температура,,,,Operational,Original
grib2/4/1/0/1,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,1,,Влажность,,,,Operational,Original
grib2/4/1/0/2,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,2,,Количество движения,,,,Operational,Original
grib2/4/1/0/3,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,3,,Масса,,,,Operational,Original
grib2/4/1/0/4,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,4,,Коротковолновая радиация,,,,Operational,Original
grib2/4/1/0/5,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,5,,Длинноволновая радиация,,,,Operational,Original
grib2/4/1/0/6,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,6,,Облачность,,,,Operational,Original
grib2/4/1/0/7,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,7,,Индексы термодинамической стабильности,,,,Operational,Original
grib2/4/1/0/8,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,8,,Индексы кинематической стабильности,,46,,Deprecated,Original
grib2/4/1/0/9,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,9,,Вероятности температуры,,46,,Deprecated,Original
grib2/4/1/0/10,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,10,,Вероятности влажности,,46,,Deprecated,Original
grib2/4/1/0/11,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,11,,Вероятности количества движения,,46,,Deprecated,Original
grib2/4/1/0/12,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,12,,Вероятности массы,,46,,Deprecated,Original
grib2/4/1/0/13,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,13,,Аэрозоли,,,,Operational,Original
grib2/4/1/0/14,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,14,,"Малые газовые примеси (например, озон, СО )",,,,Operational,Original
grib2/4/1/0/15,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,15,,Радиолокационная,,,,Operational,Original
grib2/4/1/0/16,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,16,,Прогностические радиолокационные изображения,,,,Operational,Original
grib2/4/1/0/18,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,18,,Ядерная/радиологическая,,,,Operational,Original
grib2/4/1/0/19,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,19,,Физические свойства атмосферы,,,,Operational,Original
grib2/4/1/0/20,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,20,,Химические составляющие атмосферы,,,,Operational,Original
grib2/4/1/0/21-189,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,21-189,,Зарезервированы,,,,Operational,Original
grib2/4/1/0/190,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,190,,Последовательность символов в Международном алфавите № 5 МККТ,,,,Operational,Original
grib2/4/1/0/191,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,191,,Разное,,,,Operational,Original
grib2/4/1/0/192-254,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/1/0/255,Категории параметров по дисциплинам продукции,Дисциплина продукции 0 — Метеорологическая продукция,255,,Отсутствующее,,,,Operational,Original
grib2/4/1/1/0,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,0,,Основная гидрологическая продукция,,,,Operational,Original
grib2/4/1/1/1,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,1,,Вероятности гидрологических явлений,,,,Operational,Original
grib2/4/1/1/2,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,2,,Свойства внутренних вод и наносов,,,,Operational,Original
grib2/4/1/1/3-191,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,3-191,,Зарезервированы,,,,Operational,Original
grib2/4/1/1/192-254,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/1/1/255,Категории параметров по дисциплинам продукции,Дисциплина продукции 1 — Гидрологическая продукция,255,,Отсутствующее,,,,Operational,Original
grib2/4/1/2/0,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",0,,Растительность/биомасса,,,,Operational,Original
grib2/4/1/2/1,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",1,,"Специальная продукция, связанная с сельскохозяйственной",,,,Operational,Original
grib2/4/1/2/2,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",2,,"Продукция, связанная с транспортом",,,,Operational,Original
grib2/4/1/2/3,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",3,,"Продукция, связанная с почвой",,,,Operational,Original
grib2/4/1/2/4,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",4,,"Продукция, связанная с погодой, благоприятствующей возникновению",,,,Operational,Original
grib2/4/1/2/5-191,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",5-191,,Зарезервированы,,,,Operational,Original
grib2/4/1/2/192-254,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/1/2/255,Категории параметров по дисциплинам продукции,"Дисциплина продукции 2 — Продукция, связанная с поверхностью суши",255,,Отсутствующее,,,,Operational,Original
grib2/4/1/3/0,Категории параметров по дисциплинам продукции,Дисциплина продукции 3 — Космическая продукция,0,,Продукция в формате изображений,(см. примечание 1),40,,Operational,Original
grib2/4/1/3/1,Категории параметров по дисциплинам продукции,Дисциплина продукции 3 — Космическая продукция,1,,Продукция в цифровом виде,(см. примечание 2),39,,Operational,Original
