ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/2/2/0/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",0,,"Земной покров (0 = суша, 1 = море)",,,Пропорция,Operational,PDF
grib2/4/2/2/0/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",1,,Шероховатость поверхности,,,м,Operational,PDF
grib2/4/2/2/0/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",2,,Температура почвы,,8,К,Deprecated,PDF
grib2/4/2/2/0/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",3,,Содержание влаги в почве,,1,кг ⋅ м-2,Deprecated,PDF
grib2/4/2/2/0/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",4,,Растительность,,,%,Operational,PDF
grib2/4/2/2/0/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",5,,Водный сток,,,кг ⋅ м-2,Operational,PDF
grib2/4/2/2/0/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",6,,Эвапотранспирация,(см. примечание 1),90,кг-2 ⋅ с-1,Operational,PDF
grib2/4/2/2/0/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",7,,Высота местности в модели,,,м,Operational,PDF
grib2/4/2/2/0/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",8,,Землепользование,,,(Кодовая таблица 4.212),Operational,PDF
grib2/4/2/2/0/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",9,,Объемное содержание влаги в почве,,3,Пропорция,Deprecated,PDF
grib2/4/2/2/0/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",10,,Поток тепла в почве,,1,Вт ⋅ м-2,Deprecated,PDF
grib2/4/2/2/0/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",11,,Доступность влаги,,,%,Operational,PDF
grib2/4/2/2/0/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 0: растительность/биомасса",12,,Коэффициент обмена,,,кг ⋅ м-2 ⋅ с-1,Operational,PDF
