ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/3/0,Тип процесса подготовки,,0,,Анализ,,,,Operational,Original
grib2/4/3/1,Тип процесса подготовки,,1,,Инициализация,,,,Operational,Original
grib2/4/3/2,Тип процесса подготовки,,2,,Прогноз,,,,Operational,Original
grib2/4/3/3,Тип процесса подготовки,,3,,"Прогноз, скорректированный по отклонению",,,,Operational,Original
grib2/4/3/4,Тип процесса подготовки,,4,,Прогноз по ансамблю,,,,Operational,Original
grib2/4/3/5,Тип процесса подготовки,,5,,Вероятностный прогноз,,,,Operational,Original
grib2/4/3/6,Тип процесса подготовки,,6,,Ошибка прогноза,,,,Operational,Original
grib2/4/3/7,Тип процесса подготовки,,7,,Ошибка анализа,,,,Operational,Original
grib2/4/3/8,Тип процесса подготовки,,8,,Наблюдение,,,,Operational,Original
grib2/4/3/9,Тип процесса подготовки,,9,,Климатологический,,,,Operational,Original
grib2/4/3/10,Тип процесса подготовки,,10,,Вероятностно-взвешенный прогноз,,,,Operational,Original
grib2/4/3/11,Тип процесса подготовки,,11,,Скорректированный по отклонению ансамблевый прогноз,,,,Operational,Original
grib2/4/3/12,Тип процесса подготовки,,12,,Постпроцессинговый анализ,(см. примечание),13,,Operational,Original
grib2/4/3/13,Тип процесса подготовки,,13,,Постпроцессинговый прогноз,(см. примечание),13,,Operational,Original
grib2/4/3/14,Тип процесса подготовки,,14,,Прогноз текущей погоды,,,,Operational,Original
grib2/4/3/15,Тип процесса подготовки,,15,,Ретроспективный прогноз,,,,Operational,Original
grib2/4/3/16,Тип процесса подготовки,,16,,Физический поиск,,,,Operational,Original
grib2/4/3/17,Тип процесса подготовки,,17,,Регрессионный анализ,,,,Operational,Original
grib2/4/3/18,Тип процесса подготовки,,18,,Различие между двумя прогнозами,,,,Operational,Original
grib2/4/3/19-191,Тип процесса подготовки,,19-191,,Зарезервированы,,,,Operational,Original
grib2/4/3/192-254,Тип процесса подготовки,,192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/3/255,Тип процесса подготовки,,255,,Отсутствующее,,,,Operational,Original
