ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/15/0,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,0,,Данные рассчитываются непосредственно на основе исходной сетки без интерполяции,(см. примечание 1),109,,Operational,PDF
grib2/4/15/1,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,1,,"Билинейная интерполяция с использованием четырех значений узлов на исходной сетке, окружающих номинальный узел сетки",,,,Operational,PDF
grib2/4/15/2,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,2,,"Бикубическая интерполяция с использованием четырех значений узлов на исходной сетке, окружающих номинальный узел сетки",,,,Operational,PDF
grib2/4/15/3,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,3,,"Использование значения узла на исходной сетке, максимально приближенного к номинальному узлу сетки",,,,Operational,PDF
grib2/4/15/4,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,4,,"Балансовая интерполяция с использованием четырех значений узлов на исходной сетке, окружающих номинальный узел сетки",(см. примечание 2),33,,Operational,PDF
grib2/4/15/5,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,5,,"Спектральная интерполяция с использованием четырех значений узлов на исходной сетке, окружающих номинальный узел сетки",,,,Operational,PDF
grib2/4/15/6,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,6,,"Балансовая интерполяция с использованием четырех соседних узлов на исходной сетке, окружающих номинальный узел сетки",(см. примечание 3),72,,Operational,PDF
grib2/4/15/7-191,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,7-191,,Зарезервированы,,,,Operational,PDF
grib2/4/15/192-254,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/15/255,"Тип пространственной обработки, используемой для достижения полученного значения данных на основе исходных данных",,255,,Отсутствующее,,,,Operational,PDF
