ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/5/0,Типы и единицы измерения фиксированных поверхностей,,0,,Зарезервировано,,,,Operational,PDF
grib2/4/5/1,Типы и единицы измерения фиксированных поверхностей,,1,,Земная или водная поверхность,,,—,Operational,PDF
grib2/4/5/2,Типы и единицы измерения фиксированных поверхностей,,2,,Уровень основания облака,,,—,Operational,PDF
grib2/4/5/3,Типы и единицы измерения фиксированных поверхностей,,3,,Уровень вершин облаков,,,—,Operational,PDF
grib2/4/5/4,Типы и единицы измерения фиксированных поверхностей,,4,,Уровень изотермы 0 °С,,,—,Operational,PDF
grib2/4/5/5,Типы и единицы измерения фиксированных поверхностей,,5,,"Уровень адиабатической конденсации, отстоящий от поверхности",,,—,Operational,PDF
grib2/4/5/6,Типы и единицы измерения фиксированных поверхностей,,6,,Уровень максимального ветра,,,—,Operational,PDF
grib2/4/5/7,Типы и единицы измерения фиксированных поверхностей,,7,,Тропопауза,,,—,Operational,PDF
grib2/4/5/8,Типы и единицы измерения фиксированных поверхностей,,8,,Номинальная верхняя граница атмосферы,,,—,Operational,PDF
grib2/4/5/9,Типы и единицы измерения фиксированных поверхностей,,9,,Морское дно,,,—,Operational,PDF
grib2/4/5/10,Типы и единицы измерения фиксированных поверхностей,,10,,Вся атмосфера,,,—,Operational,PDF
grib2/4/5/11,Типы и единицы измерения фиксированных поверхностей,,11,,Основание кучево-дождевого (CB) облака,,,м,Operational,PDF
grib2/4/5/12,Типы и единицы измерения фиксированных поверхностей,,12,,Вершина кучево-дождевого (CB) облака,,,м,Operational,PDF
grib2/4/5/13,Типы и единицы измерения фиксированных поверхностей,,13,,"Самый низкий уровень, на котором интегрированная по вертикали облачность превышает указанное процентное соотношение (основание облаков для данного процента облачности)",,,%,Operational,PDF
grib2/4/5/14,Типы и единицы измерения фиксированных поверхностей,,14,,Уровень свободной конвекции (LFC),,,—,Operational,PDF
grib2/4/5/15,Типы и единицы измерения фиксированных поверхностей,,15,,Конвективный уровень конденсации (CCL),,,—,Operational,PDF
grib2/4/5/16,Типы и единицы измерения фиксированных поверхностей,,16,,Уровень нейтральной плавучести или уровень равновесия (LNB),,,—,Operational,PDF
grib2/4/5/17-19,Типы и единицы измерения фиксированных поверхностей,,17-19,,Зарезервированы,,,,Operational,PDF
grib2/4/5/20,Типы и единицы измерения фиксированных поверхностей,,20,,Изотермический уровень,,,,Operational,PDF
grib2/4/5/21,Типы и единицы измерения фиксированных поверхностей,,21,,"Самый низкий уровень, на котором массовая плотность превышает указанное значение (нижняя граница для заданного порогового значения массовой плотности)",,,кг ⋅ м-3,Operational,PDF
grib2/4/5/22,Типы и единицы измерения фиксированных поверхностей,,22,,"Самый высокий уровень, на котором массовая плотность превышает указанное значение (верхняя граница для заданного порогового значения массовой плотности)",,,кг ⋅ м-3,Operational,PDF
grib2/4/5/23,Типы и единицы измерения фиксированных поверхностей,,23,,"Самый низкий уровень, на котором концентрация в воздухе превышает указанное значение (нижняя граница для заданного порогового значения концентрации в воздухе)",,,Бк ⋅ м-3,Operational,PDF
