ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/3/4/1/0,Режим сканирования,,1,0,Сканирование точек первого ряда или колонки в направлении +i (+x),,,,Operational,Original
grib2/3/4/1/1,Режим сканирования,,1,1,Сканирование точек первого ряда или колонки в направлении –i (-x),,,,Operational,Original
grib2/3/4/2/0,Режим сканирования,,2,0,Сканирование точек первого ряда или колонки в направлении –j (-y),,,,Operational,Original
grib2/3/4/2/1,Режим сканирования,,2,1,Сканирование точек первого ряда или колонки в направлении +j (+y),,,,Operational,Original
grib2/3/4/3/0,Режим сканирования,,3,0,Соседние точки в направлении i (x) являются последовательными,,,,Operational,Original
grib2/3/4/3/1,Режим сканирования,,3,1,Соседние точки в направлении j (y) являются последовательными,,,,Operational,Original
grib2/3/4/4/0,Режим сканирования,,4,0,Все ряды сканируются в одном и том же направлении,,,,Operational,Original
grib2/3/4/4/1,Режим сканирования,,4,1,Соседние ряды сканируются в противоположных направлениях,,,,Operational,Original
grib2/3/4/5/0,Режим сканирования,,5,0,Точки в пределах нечетных рядов не смещены в направлении i (x),,,,Operational,Original
grib2/3/4/5/1,Режим сканирования,,5,1,Точки в пределах нечетных рядов смещены в направлении i (x) на Di/2,,,,Operational,Original
grib2/3/4/6/0,Режим сканирования,,6,0,Точки в пределах четных рядов не смещены в направлении i (x),,,,Operational,Original
grib2/3/4/6/1,Режим сканирования,,6,1,Точки в пределах четных рядов смещены в направлении i (x) на Di/2,,,,Operational,Original
grib2/3/4/7/0,Режим сканирования,,7,0,Точки не смещены в направлении j (y),,,,Operational,Original
grib2/3/4/7/1,Режим сканирования,,7,1,Точки смещены в направлении j (y) на Dj/2,,,,Operational,Original
grib2/3/4/8/0,Режим сканирования,,8,0,"Ряды имеют точки сетки Ni, а колонки имеют точки сетки Nj",,,,Operational,Original
grib2/3/4/8/1,Режим сканирования,,8,1,"Ряды имеют точки сетки Ni, если точки не смещены в направлении i Ряды имеют точки сетки Ni–1, если точки смещены в направлении i на Di/2 Колонки имеют точки сетки Nj, если точки не смещены в направлении j Колонки имеют точки сетки Nj–1, если точки не смещены в направлении j на Dj/2",,,,Operational,Original
