ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/218/0,"Тип области, задаваемой пикселем",,0,,Область не определена,,,,Operational,PDF
grib2/4/218/1,"Тип области, задаваемой пикселем",,1,,Зеленый хвойный лес,,,,Operational,PDF
grib2/4/218/2,"Тип области, задаваемой пикселем",,2,,Зеленый широколиственный лес,,,,Operational,PDF
grib2/4/218/3,"Тип области, задаваемой пикселем",,3,,Листопадный хвойный лес,,,,Operational,PDF
grib2/4/218/4,"Тип области, задаваемой пикселем",,4,,Листопадный широколиственный лес,,,,Operational,PDF
grib2/4/218/5,"Тип области, задаваемой пикселем",,5,,Листопадный смешанный лес,,,,Operational,PDF
grib2/4/218/6,"Тип области, задаваемой пикселем",,6,,Закрытый кустарниковый ярус,,,,Operational,PDF
grib2/4/218/7,"Тип области, задаваемой пикселем",,7,,Открытый кустарниковый ярус,,,,Operational,PDF
grib2/4/218/8,"Тип области, задаваемой пикселем",,8,,Лесистая саванна,,,,Operational,PDF
grib2/4/218/9,"Тип области, задаваемой пикселем",,9,,Саванна,,,,Operational,PDF
grib2/4/218/10,"Тип области, задаваемой пикселем",,10,,"Луг, пастбище",,,,Operational,PDF
grib2/4/218/11,"Тип области, задаваемой пикселем",,11,,Постоянная заболоченная территория,,,,Operational,PDF
grib2/4/218/12,"Тип области, задаваемой пикселем",,12,,Пахотная земля,,,,Operational,PDF
grib2/4/218/13,"Тип области, задаваемой пикселем",,13,,Городская территория,,,,Operational,PDF
grib2/4/218/14,"Тип области, задаваемой пикселем",,14,,Растительность/зерновые,,,,Operational,PDF
grib2/4/218/15,"Тип области, задаваемой пикселем",,15,,Постоянный снег/лед,,,,Operational,PDF
grib2/4/218/16,"Тип области, задаваемой пикселем",,16,,Бесплодная пустыня,,,,Operational,PDF
grib2/4/218/17,"Тип области, задаваемой пикселем",,17,,Водоемы,,,,Operational,PDF
grib2/4/218/18,"Тип области, задаваемой пикселем",,18,,Тундра,,,,Operational,PDF
grib2/4/218/19,"Тип области, задаваемой пикселем",,19,,"Теплые облака, состоящие из жидкой воды",,,,Operational,PDF
grib2/4/218/20,"Тип области, задаваемой пикселем",,20,,"Переохлажденные облака, состоящие из жидкой воды",,,,Operational,PDF
grib2/4/218/21,"Тип области, задаваемой пикселем",,21,,Облака смешанной фазы,,,,Operational,PDF
grib2/4/218/22,"Тип области, задаваемой пикселем",,22,,Оптически тонкие ледяные облака,,,,Operational,PDF
grib2/4/218/23,"Тип области, задаваемой пикселем",,23,,Оптически толстые ледяные облака,,,,Operational,PDF
grib2/4/218/24,"Тип области, задаваемой пикселем",,24,,Многослойные облака,,,,Operational,PDF
grib2/4/218/25-96,"Тип области, задаваемой пикселем",,25-96,,Зарезервированы,,,,Operational,PDF
grib2/4/218/97,"Тип области, задаваемой пикселем",,97,,Снег/лед на земле,,,,Operational,PDF
grib2/4/218/98,"Тип области, задаваемой пикселем",,98,,Снег/лед на водной поверхности,,,,Operational,PDF
grib2/4/218/99,"Тип области, задаваемой пикселем",,99,,Солнечные блики,,,,Operational,PDF
grib2/4/218/100,"Тип области, задаваемой пикселем",,100,,Облака (без уточнения),,,,Operational,PDF
grib2/4/218/101,"Тип области, задаваемой пикселем",,101,,Облака нижнего яруса/туман/слоистые облака,,,,Operational,PDF
grib2/4/218/102,"Тип области, задаваемой пикселем",,102,,Облака нижнего яруса/слоисто-кучевые облака,,,,Operational,PDF
grib2/4/218/103,"Тип области, задаваемой пикселем",,103,,Облака нижнего яруса/тип неизвестен,,,,Operational,PDF
grib2/4/218/104,"Тип области, задаваемой пикселем",,104,,Облака среднего яруса/слоисто-дождевые облака,,,,Operational,PDF
grib2/4/218/105,"Тип области, задаваемой пикселем",,105,,Облака среднего яруса/высокослоистые облака,,,,Operational,PDF
grib2/4/218/106,"Тип области, задаваемой пикселем",,106,,Облака среднего яруса/тип неизвестен,,,,Operational,PDF
grib2/4/218/107,"Тип области, задаваемой пикселем",,107,,Облака верхнего яруса/кучевые облака,,,,Operational,PDF
grib2/4/218/108,"Тип области, задаваемой пикселем",,108,,Облака верхнего яруса/перистые облака,,,,Operational,PDF
grib2/4/218/109,"Тип области, задаваемой пикселем",,109,,Облака верхнего яруса/тип неизвестен,,,,Operational,PDF
grib2/4/218/110,"Тип области, задаваемой пикселем",,110,,Тип облаков неизвестен,,,,Operational,PDF
grib2/4/218/111,"Тип области, задаваемой пикселем",,111,,Однослойное водяное облако,,,,Operational,PDF
grib2/4/218/112,"Тип области, задаваемой пикселем",,112,,Однослойное ледяное облако,,,,Operational,PDF
grib2/4/218/113-191,"Тип области, задаваемой пикселем",,113-191,,Зарезервированы,,,,Operational,PDF
grib2/4/218/192-254,"Тип области, задаваемой пикселем",,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/218/255,"Тип области, задаваемой пикселем",,255,,Отсутствующее,,,,Operational,PDF
