ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/234/1,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,1,,"Сельскохозяйственные культуры, смешанное хозяйство",,,,Operational,PDF
grib2/4/234/2,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,2,,Низкотравье,,,,Operational,PDF
grib2/4/234/3,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,3,,Вечнозелёные хвойные деревья,,,,Operational,PDF
grib2/4/234/4,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,4,,Листопадные хвойные деревья,,,,Operational,PDF
grib2/4/234/5,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,5,,Листопадные широколиственные деревья,,,,Operational,PDF
grib2/4/234/6,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,6,,Вечнозеленые широколиственные деревья,,,,Operational,PDF
grib2/4/234/7,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,7,,Высокотравье,,,,Operational,PDF
grib2/4/234/8,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,8,,Пустыня,,,,Operational,PDF
grib2/4/234/9,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,9,,Тундра,,,,Operational,PDF
grib2/4/234/10,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,10,,Орошаемые культуры,,,,Operational,PDF
grib2/4/234/11,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,11,,Полупустыня,,,,Operational,PDF
grib2/4/234/12,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,12,,Ледяные шапки и ледники,,,,Operational,PDF
grib2/4/234/13,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,13,,Торфяники и травяные болота,,,,Operational,PDF
grib2/4/234/14,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,14,,Внутренние воды,,,,Operational,PDF
grib2/4/234/15,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,15,,Океан,,,,Operational,PDF
grib2/4/234/16,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,16,,Вечнозеленые кустарники,,,,Operational,PDF
grib2/4/234/17,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,17,,Листопадные кустарники,,,,Operational,PDF
grib2/4/234/18,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,18,,Смешанный лес,,,,Operational,PDF
grib2/4/234/19,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,19,,Редкий лес,,,,Operational,PDF
grib2/4/234/20,Фракция лесного покрова (для использования в качестве разделенного параметра в образце определения продукции 4.53 или 4.54),,20,,Смешение воды и суши,,,,Operational,PDF
