ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/4/0,Указатель единицы измерения временного диапазона,,0,,Минута,,,,Operational,PDF
grib2/4/4/1,Указатель единицы измерения временного диапазона,,1,,Час,,,,Operational,PDF
grib2/4/4/2,Указатель единицы измерения временного диапазона,,2,,День,,,,Operational,PDF
grib2/4/4/3,Указатель единицы измерения временного диапазона,,3,,Месяц,,,,Operational,PDF
grib2/4/4/4,Указатель единицы измерения временного диапазона,,4,,Год,,,,Operational,PDF
grib2/4/4/5,Указатель единицы измерения временного диапазона,,5,,Декада (10 лет),,,,Operational,PDF
grib2/4/4/6,Указатель единицы измерения временного диапазона,,6,,Нормаль (30 лет),,,,Operational,PDF
grib2/4/4/7,Указатель единицы измерения временного диапазона,,7,,Век (100 лет),,,,Operational,PDF
grib2/4/4/8-9,Указатель единицы измерения временного диапазона,,8-9,,Зарезервированы,,,,Operational,PDF
grib2/4/4/10,Указатель единицы измерения временного диапазона,,10,,3 часа,,,,Operational,PDF
grib2/4/4/11,Указатель единицы измерения временного диапазона,,11,,6 часов,,,,Operational,PDF
grib2/4/4/12,Указатель единицы измерения временного диапазона,,12,,12 часов,,,,Operational,PDF
grib2/4/4/13,Указатель единицы измерения временного диапазона,,13,,Секунда,,,,Operational,PDF
grib2/4/4/14-191,Указатель единицы измерения временного диапазона,,14-191,,Зарезервированы,,,,Operational,PDF
grib2/4/4/192-254,Указатель единицы измерения временного диапазона,,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/4/255,Указатель единицы измерения временного диапазона,,255,,Отсутствующее,,,,Operational,PDF
