ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/1/0/0,Номера версий эталонных таблиц GRIB,,0,,Экспериментальная,,,,Deprecated,PDF
grib2/1/0/1,Номера версий эталонных таблиц GRIB,,1,,"Версия, осуществляемая с 7 ноября 2001 г.",,,,Deprecated,PDF
grib2/1/0/2,Номера версий эталонных таблиц GRIB,,2,,"Версия, осуществляемая с 4 ноября 2003 г.",,,,Deprecated,PDF
grib2/1/0/3,Номера версий эталонных таблиц GRIB,,3,,"Версия, осуществляемая с 2 ноября 2005 г.",,,,Deprecated,PDF
grib2/1/0/4,Номера версий эталонных таблиц GRIB,,4,,"Версия, осуществляемая с 7 ноября 2007 г.",,,,Deprecated,PDF
grib2/1/0/5,Номера версий эталонных таблиц GRIB,,5,,"Версия, осуществляемая с 4 ноября 2009 г.",,,,Deprecated,PDF
grib2/1/0/6,Номера версий эталонных таблиц GRIB,,6,,"Версия, осуществляемая с 15 сентября 2010 г.",,,,Deprecated,PDF
grib2/1/0/7,Номера версий эталонных таблиц GRIB,,7,,"Версия, осуществляемая с 4 мая 2011 г.",,,,Deprecated,PDF
grib2/1/0/8,Номера версий эталонных таблиц GRIB,,8,,"Версия, осуществляемая с 2 ноября 2011 г.",,,,Deprecated,PDF
grib2/1/0/9,Номера версий эталонных таблиц GRIB,,9,,"Версия, осуществляемая со 2 мая 2012 г.",,,,Deprecated,PDF
grib2/1/0/10,Номера версий эталонных таблиц GRIB,,10,,"Версия, осуществляемая с 7 ноября 2012 г.",,,,Deprecated,PDF
grib2/1/0/11,Номера версий эталонных таблиц GRIB,,11,,"Версия, осуществляемая с 8 мая 2013 г.",,,,Deprecated,PDF
grib2/1/0/12,Номера версий эталонных таблиц GRIB,,12,,"Версия, осуществляемая с 14 ноября 2013 г.",,,,Deprecated,PDF
grib2/1/0/13,Номера версий эталонных таблиц GRIB,,13,,"Версия, осуществляемая с 7 мая 2014 г.",,,,Deprecated,PDF
grib2/1/0/14,Номера версий эталонных таблиц GRIB,,14,,"Версия, осуществляемая с 5 ноября 2014 г.",,,,Deprecated,PDF
grib2/1/0/15,Номера версий эталонных таблиц GRIB,,15,,"Версия, осуществляемая с 6 мая 2015 г.",,,,Deprecated,PDF
grib2/1/0/16,Номера версий эталонных таблиц GRIB,,16,,"Версия, осуществляемая с 11 ноября 2015 г.",,,,Deprecated,PDF
grib2/1/0/17,Номера версий эталонных таблиц GRIB,,17,,"Версия, осуществляемая с 4 мая 2016 г.",,,,Deprecated,PDF
grib2/1/0/18,Номера версий эталонных таблиц GRIB,,18,,"Версия, осуществляемая со 2 ноября 2016 г.",,,,Deprecated,PDF
grib2/1/0/19,Номера версий эталонных таблиц GRIB,,19,,"Версия, осуществляемая с 3 мая 2017 г.",,,,Deprecated,PDF
grib2/1/0/20,Номера версий эталонных таблиц GRIB,,20,,"Версия, осуществляемая с 8 ноября 2017 г.",,,,Deprecated,PDF
grib2/1/0/21,Номера версий эталонных таблиц GRIB,,21,,"Версия, осуществляемая со 2 мая 2018 г.",,,,Deprecated,PDF
grib2/1/0/22,Номера версий эталонных таблиц GRIB,,22,,"Версия, осуществляемая с 7 ноября 2018 г.",,,,Deprecated,PDF
grib2/1/0/23,Номера версий эталонных таблиц GRIB,,23,,"Предоперативная версия, которая должна осуществляться в результате следующей поправки",,,,Deprecated,PDF
grib2/1/0/24-254,Номера версий эталонных таблиц GRIB,,24-254,,Будущие версии,,108,,Deprecated,PDF
grib2/1/0/255,Номера версий эталонных таблиц GRIB,,255,,Отсутствующее,,,,Deprecated,PDF
