ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/10/2/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",0,,Ледовитость,,,Пропорция,Operational,PDF
grib2/4/2/10/2/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",1,,Толщина льда,,,м,Operational,PDF
grib2/4/2/10/2/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",2,,Направление дрейфа льда,,,истинные градусы,Operational,PDF
grib2/4/2/10/2/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",3,,Скорость дрейфа льда,,,м ⋅ с-1,Operational,PDF
grib2/4/2/10/2/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",4,,Компонента u дрейфа льда,,,м ⋅ с-1,Operational,PDF
grib2/4/2/10/2/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",5,,Компонента v дрейфа льда,,,м ⋅ с-1,Operational,PDF
grib2/4/2/10/2/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",6,,Скорость нарастания льда,,,м ⋅ с-1,Operational,PDF
grib2/4/2/10/2/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",7,,Дивергенция льда,,,с-1,Operational,PDF
grib2/4/2/10/2/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",8,,Температура льда,,,K,Operational,PDF
grib2/4/2/10/2/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",9,,Модуль внутреннего давления льда,,57,Па ⋅ м,Operational,PDF
grib2/4/2/10/2/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",10,,Зональная векторная компонента интегрированного по вертикали внутреннего давления льда,,,Па ⋅ м,Operational,PDF
grib2/4/2/10/2/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",11,,Меридиональная векторная компонента интегрированного по вертикали внутреннего давления льда,,,Па ⋅ м,Operational,PDF
grib2/4/2/10/2/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",12,,Прочность льда на сжатие,,,Н ⋅ м-1,Operational,PDF
grib2/4/2/10/2/13-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",13-191,,Зарезервированы,,,,Operational,PDF
grib2/4/2/10/2/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/2/10/2/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 10 — Океанографическая продукция, категория параметра 2: лед",255,,Отсутствующий,,,,Operational,PDF
