ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/0/4/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",0,,Результирующий поток коротковолновой радиации (у поверхности),,1,Вт ⋅ м-2,Deprecated,Original
grib2/4/2/0/4/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",1,,Результирующий поток коротковолновой радиации (на верхней границе атмосферы),,1,Вт ⋅ м-2,Deprecated,Original
grib2/4/2/0/4/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",2,,Поток коротковолновой радиации,,1,Вт ⋅ м-2,Deprecated,Original
grib2/4/2/0/4/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",3,,Глобальный поток радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",4,,Яркостная температура,,,К,Operational,Original
grib2/4/2/0/4/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",5,,Излучение (в отношении волнового числа),,,Вт ⋅ м-1 ⋅ ср-1,Operational,Original
grib2/4/2/0/4/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",6,,Излучение (в отношении длины волны),,,Вт ⋅ м-3 ⋅ ср-1,Operational,Original
grib2/4/2/0/4/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",7,,Нисходящий поток коротковолновой радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",8,,Восходящий поток коротковолновой радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",9,,Результирующий поток коротковолновой радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",10,,Активная радиация фотосинтеза,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",11,,Результирующий поток коротковолновой радиации (безоблачное небо),,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",12,,Нисходящая УФ-радиация,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",13,,Поток прямой коротковолновой радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/14,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",14,,Поток рассеянной коротковолновой радиации,,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/15-49,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",15-49,,Зарезервированы,,,,,Original
grib2/4/2/0/4/50,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",50,,УФ-индекс** (при безоблачном небе),,24,Числ.,Operational,Original
grib2/4/2/0/4/51,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",51,,УФ-индекс,,24,Числ.,Operational,Original
grib2/4/2/0/4/52,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",52,,"Нисходящий поток коротковолновой радиации, ясное небо",,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/53,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",53,,"Восходящий поток коротковолновой радиации, ясное небо",,,Вт ⋅ м-2,Operational,Original
grib2/4/2/0/4/54-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",54-191,,Зарезервированы,,,,,Original
grib2/4/2/0/4/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/2/0/4/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 4: коротковолновая радиация",255,,Отсутствующий = ⋅ 400 nm ⋅ λ λ I k E s ( ) d ⋅ /(м 2 ⋅ нанометр) при длине волны,,,"λ , а d λ λ — интервал",Operational,Original
