ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/0/20/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",0,,Плотность массы (концентрация),,,кг ⋅ м-3,Operational,Original
grib2/4/2/0/20/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",1,,"Плотность массы, интегрированная по столбу воздуха (см. примечание 1)",,5,кг ⋅ м-2,Operational,Original
grib2/4/2/0/20/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",2,,Соотношение компонентов смеси (массовая доля в воздухе),,,кг ⋅ кг-1,Operational,Original
grib2/4/2/0/20/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",3,,"Поток массы, выброшенной в атмосферу",,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",4,,"Суммарный массовый поток, продуцированный в атмосфере",,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",5,,"Суммарный массовый поток, продуцированный в атмосфере и выброшенный в атмосферу",,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",6,,Поток массы сухих приземных выпадений,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",7,,Поток массы влажных приземных выпадений,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",8,,Поток массы повторной эмиссии в атмосфере,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",9,,Влажное осаждение за счет потока массы крупномасштабных осадков,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",10,,Влажное осаждение за счет потока массы конвективных осадков,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",11,,Поток осаждающейся массы,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",12,,Массовый поток массы сухих осаждений,,,кг ⋅ м-2 ⋅ с-1,Operational,Original
grib2/4/2/0/20/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",13,,Переход из гидрофобного в гидрофильное состояние,,,кг ⋅ кг-1 ⋅ с-1,Operational,Original
grib2/4/2/0/20/14,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",14,,Переход из SO (двуокись серы) в SO (сульфат),,,кг ⋅ кг-1 ⋅ с-1,Operational,Original
grib2/4/2/0/20/15,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",15,,Скорость сухих осаждений,,,м ⋅ с-1,Operational,Original
grib2/4/2/0/20/16,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",16,,Соотношение компонентов смеси в сухом воздухе Параметр,,,кг ⋅ кг-1,Operational,Original
grib2/4/2/0/20/17,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",17,,Соотношение компонентов смеси во влажном воздухе,,,кг ⋅ кг −1,Operational,Original
grib2/4/2/0/20/18-49,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",18-49,,Зарезервированы,,,,,Original
grib2/4/2/0/20/50,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",50,,Количество в атмосфере,,,моль,Operational,Original
grib2/4/2/0/20/51,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",51,,Концентрация в воздухе,,,моль ⋅ м-3,Operational,Original
grib2/4/2/0/20/52,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",52,,Объемное соотношение компонентов смеси (доля в воздухе),,,моль ⋅ моль-1,Operational,Original
grib2/4/2/0/20/53,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 20: химические составляющие атмосферы",53,,Скорость роста общей химической концентрации,,,моль ⋅ м-3 ⋅ c-1,Operational,Original
