ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/0/18/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",0,,Концентрация в воздухе цезия-137,,,Бк ⋅ м-3,Operational,Original
grib2/4/2/0/18/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",1,,Концентрация в воздухе йода-131,,,Бк ⋅ м-3,Operational,Original
grib2/4/2/0/18/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",2,,Концентрация в воздухе радиоактивных загрязняющих веществ,,,Бк ⋅ м-3,Operational,Original
grib2/4/2/0/18/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",3,,Наземные выпадения цезия-137,,,Бк ⋅ м-2,Operational,Original
grib2/4/2/0/18/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",4,,Наземные выпадения йода-131,,,Бк ⋅ м-2,Operational,Original
grib2/4/2/0/18/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",5,,Наземные выпадения радиоактивных загрязняющих веществ,,,Бк ⋅ м-2,Operational,Original
grib2/4/2/0/18/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",6,,Динамическая концентрация в воздухе загрязняющего вещества цезия,(примечание 1),10,Бк ⋅ с ⋅ м-3,Operational,Original
grib2/4/2/0/18/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",7,,Динамическая концентрация в воздухе загрязняющего вещества йода,(примечание 1),10,Бк ⋅ с ⋅ м-3,Operational,Original
grib2/4/2/0/18/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",8,,Динамическая концентрация в воздухе радиоактивного загрязняющего вещества,(примечание 1),10,Бк ⋅ с ⋅ м-3,Operational,Original
grib2/4/2/0/18/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 18: ядерная/радиологическая",9,,Зарезервировано,,,,Operational,Original
