ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/1/3/0,Статус производства данных,,0,,Оперативная продукция,,,,Operational,PDF
grib2/1/3/1,Статус производства данных,,1,,Оперативная тестовая продукция,,,,Operational,PDF
grib2/1/3/2,Статус производства данных,,2,,Научно-исследовательская продукция,,,,Operational,PDF
grib2/1/3/3,Статус производства данных,,3,,Продукция повторного анализа,,,,Operational,PDF
grib2/1/3/4,Статус производства данных,,4,,Интерактивный комплексный глобальный ансамбль ТОРПЭКС (ТИГГЕ),,,,Operational,PDF
grib2/1/3/5,Статус производства данных,,5,,Испытание интерактивного комплексного глобального ансамбля ТОРПЭКС (ТИГГЕ),,,,Operational,PDF
grib2/1/3/6,Статус производства данных,,6,,Оперативная продукция S2S,,,,Operational,PDF
grib2/1/3/7,Статус производства данных,,7,,Испытуемая продукция S2S,,,,Operational,PDF
grib2/1/3/8,Статус производства данных,,8,,Проект по вопросу о неопределенностях в ансамблях регионального реанализа (НАРР),,,,Operational,PDF
grib2/1/3/9,Статус производства данных,,9,,Тестирование проекта по вопросу о неопределенностях в ансамблях регионального реанализа (НАРР),,,,Operational,PDF
grib2/1/3/10-191,Статус производства данных,,10-191,,Зарезервированы,,,,Operational,PDF
grib2/1/3/192-254,Статус производства данных,,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/1/3/255,Статус производства данных,,255,,Отсутствующее,,,,Operational,PDF
