ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/2/3/2/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",0,,Вероятность безоблачного неба,,,%,Operational,PDF
grib2/4/2/3/2/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",1,,Температура верхней границы облаков,,,К,Operational,PDF
grib2/4/2/3/2/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",2,,Давление на верхней границе облаков,,,Па,Operational,PDF
grib2/4/2/3/2/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",3,,Вид облаков,,,Кодовая таблица 4.218,Operational,PDF
grib2/4/2/3/2/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",4,,Фазовое состояние воды в облаке,,,Кодовая таблица 4.218,Operational,PDF
grib2/4/2/3/2/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",5,,Оптическая толщина облаков,,,Числ.,Operational,PDF
grib2/4/2/3/2/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",6,,Эффективный радиус облачных частиц,,,м,Operational,PDF
grib2/4/2/3/2/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",7,,Тракт жидкой фазы в облаке,,,кг ⋅ м-2,Operational,PDF
grib2/4/2/3/2/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",8,,Тракт ледяной фазы в облаке,,,кг ⋅ м-2,Operational,PDF
grib2/4/2/3/2/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",9,,Альбедо облаков,,,Числ.,Operational,PDF
grib2/4/2/3/2/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",10,,Излучательная способность облаков,,,Числ.,Operational,PDF
grib2/4/2/3/2/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",11,,"Эффективный коэффициент поглощения, рассчитанный для оптической толщины",,,Числ.,Operational,PDF
grib2/4/2/3/2/30,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",30,,Издержки измерений,,,Числ.,Operational,PDF
grib2/4/2/3/2/31,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",31,,Оптическая толщина верхнего слоя облаков,,70,Числ.,Deprecated,PDF
grib2/4/2/3/2/32,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",32,,Давление на верхней границе верхнего слоя облаков,,70,Па,Deprecated,PDF
grib2/4/2/3/2/33,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",33,,Эффективный радиус верхнего слоя облаков,,70,м,Deprecated,PDF
grib2/4/2/3/2/34,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",34,,Ошибка в оптической толщине верхнего слоя облаков,,70,Числ.,Deprecated,PDF
grib2/4/2/3/2/35,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",35,,Ошибка в давлении на верхней границе верхнего слоя облаков,,70,Па,Deprecated,PDF
grib2/4/2/3/2/36,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",36,,Ошибка в эффективном радиусе верхнего слоя облаков,,70,м,Deprecated,PDF
grib2/4/2/3/2/37,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",37,,Оптическая толщина нижнего слоя облаков,,70,Числ.,Deprecated,PDF
grib2/4/2/3/2/38,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",38,,Давление на верхней границе нижнего слоя облаков,,70,Па,Deprecated,PDF
grib2/4/2/3/2/39,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",39,,Ошибка в оптической толщине нижнего слоя облаков,,70,Числ.,Deprecated,PDF
grib2/4/2/3/2/40,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",40,,Ошибка в давлении на верхней границе нижнего слоя облаков,,70,Па,Deprecated,PDF
grib2/4/2/3/2/41-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",41-191,,Зарезервированы,,,,Operational,PDF
grib2/4/2/3/2/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/2/3/2/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 2: свойства облаков",255,,Отсутствующий,,,,Operational,PDF
