ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/10/0,Тип статистической обработки,,0,,Среднее,,,,Operational,PDF
grib2/4/10/1,Тип статистической обработки,,1,,Аккумулированное,(см. примечание 1),92,,Operational,PDF
grib2/4/10/2,Тип статистической обработки,,2,,Максимальное,,,,Operational,PDF
grib2/4/10/3,Тип статистической обработки,,3,,Минимальное,,,,Operational,PDF
grib2/4/10/4,Тип статистической обработки,,4,,Разность (значение в конце временного диапазона минус значение в его начале),,,,Operational,PDF
grib2/4/10/5,Тип статистической обработки,,5,,Среднеквадратическое,,,,Operational,PDF
grib2/4/10/6,Тип статистической обработки,,6,,Стандартное отклонение,,,,Operational,PDF
grib2/4/10/7,Тип статистической обработки,,7,,Ковариация (временная дисперсия),(см. примечание 2),93,,Operational,PDF
grib2/4/10/8,Тип статистической обработки,,8,,Разность (значение в начале временного диапазона минус значение в его конце),,,,Operational,PDF
grib2/4/10/9,Тип статистической обработки,,9,,Соотношение,(см. примечание 3),97,,Operational,PDF
grib2/4/10/10,Тип статистической обработки,,10,,Нормированная аномалия,,,,Operational,PDF
grib2/4/10/11,Тип статистической обработки,,11,,Суммирование,,,,Operational,PDF
grib2/4/10/12-191,Тип статистической обработки,,12-191,,Зарезервированы,,,,Operational,PDF
grib2/4/10/192-254,Тип статистической обработки,,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/10/255,Тип статистической обработки,,255,,Отсутствующее,,,,Operational,PDF
