ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/7/0,Вычисленный прогноз,,0,,Невзвешенные средние значения всех членов,,,,Operational,PDF
grib2/4/7/1,Вычисленный прогноз,,1,,Взвешенные средние значения всех членов,,,,Operational,PDF
grib2/4/7/2,Вычисленный прогноз,,2,,Стандартное отклонение по отношению к среднему для кластера,,,,Operational,PDF
grib2/4/7/3,Вычисленный прогноз,,3,,Нормализованное стандартное отклонение по отношению к среднему для кластера,,,,Operational,PDF
grib2/4/7/4,Вычисленный прогноз,,4,,Разброс всех членов,,,,Operational,PDF
grib2/4/7/5,Вычисленный прогноз,,5,,Индекс значительной аномалии всех членов,(см. примечание 1),67,,Operational,PDF
grib2/4/7/6,Вычисленный прогноз,,6,,Невзвешенное среднее значение членов кластера,,,,Operational,PDF
grib2/4/7/7,Вычисленный прогноз,,7,,Интерквартильный диапазон (диапазон между 25-м и 75-м квантилем),,,,Operational,PDF
grib2/4/7/8,Вычисленный прогноз,,8,,Минимум всех ансамблевых членов,(см. примечание 2),63,,Operational,PDF
grib2/4/7/9,Вычисленный прогноз,,9,,Максимум всех ансамблевых членов,(см. примечание 2),63,,Operational,PDF
grib2/4/7/10-191,Вычисленный прогноз,,10-191,,Зарезервированы,,,,Operational,PDF
grib2/4/7/192-254,Вычисленный прогноз,,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/7/255,Вычисленный прогноз,,255,,Отсутствующее,,,,Operational,PDF
