ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/0/0,Номер образца определения продукции,,0,,Анализ или прогноз на горизонтальном уровне или в горизонтальном слое на данный момент времени,,,,Operational,PDF
grib2/4/0/1,Номер образца определения продукции,,1,,"Индивидуальный ансамблевый прогноз, контролируемый и возмущенный, по горизонтальному уровню или горизонтальному слою на данный момент времени",,,,Operational,PDF
grib2/4/0/2,Номер образца определения продукции,,2,,Вычисленные прогнозы на основе всех членов ансамбля на горизонтальном уровне или в горизонтальном слое на данный момент времени,,,,Operational,PDF
grib2/4/0/3,Номер образца определения продукции,,3,,"Вычисленные прогнозы, основанные на кластере членов ансамбля по прямоугольному району на горизонтальном уровне или в горизонтальном слое на данный момент времени",,,,Operational,PDF
grib2/4/0/4,Номер образца определения продукции,,4,,"Вычисленные прогнозы, основанные на кластере членов ансамбля по круговому району на горизонтальном уровне или в горизонтальном слое на данный момент времени",,,,Operational,PDF
grib2/4/0/5,Номер образца определения продукции,,5,,Вероятностные прогнозы на горизонтальном уровне или в горизонтальном слое на данный момент времени,,,,Operational,PDF
grib2/4/0/6,Номер образца определения продукции,,6,,Прогнозы процентилей на горизонтальном уровне или в горизонтальном слое на данный момент времени,,,,Operational,PDF
grib2/4/0/7,Номер образца определения продукции,,7,,Ошибка анализа или прогноза на горизонтальном уровне или в горизонтальном слое на данный момент времени,,,,Operational,PDF
grib2/4/0/8,Номер образца определения продукции,,8,,"Средние, экстремальные значения, значения накопленных сумм или другие статистически обработанные значения на горизонтальном уровне или в горизонтальном слое в непрерывном или дискретном временном интервале",,,,Operational,PDF
grib2/4/0/9,Номер образца определения продукции,,9,,Вероятностные прогнозы на горизонтальном уровне или в горизонтальном слое в непрерывном или дискретном временном интервале,,,,Operational,PDF
grib2/4/0/10,Номер образца определения продукции,,10,,Прогнозы процентилей на горизонтальном уровне или в горизонтальном слое в непрерывном или дискретном временном интервале,,,,Experimental,PDF
grib2/4/0/11,Номер образца определения продукции,,11,,"Индивидуальный ансамблевый прогноз, контролируемый и возмущенный, по горизонтальному уровню или горизонтальному слою в непрерывном или дискретном интервале",,,,Operational,PDF
grib2/4/0/12,Номер образца определения продукции,,12,,Вычисленные прогнозы на основе всех членов ансамбля на горизонтальном уровне и в горизонтальном слое в непрерывном или дискретном интервале,,,,Operational,PDF
