ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/238/0,Источник или поглотитель,,0,,Зарезервировано,,,,Operational,PDF
grib2/4/238/1,Источник или поглотитель,,1,,Авиация,,,,Operational,PDF
grib2/4/238/2,Источник или поглотитель,,2,,Молния,,,,Operational,PDF
grib2/4/238/3,Источник или поглотитель,,3,,Биогенные источники,,,,Operational,PDF
grib2/4/238/4,Источник или поглотитель,,4,,Антропогенные источники,,,,Operational,PDF
grib2/4/238/5,Источник или поглотитель,,5,,Стихийные пожары,,,,Operational,PDF
grib2/4/238/6,Источник или поглотитель,,6,,Естественные источники,,,,Operational,PDF
grib2/4/238/7,Источник или поглотитель,,7,,Вулканы,,,,Operational,PDF
grib2/4/238/8,Источник или поглотитель,,8,,Биологическое топливо,,,,Operational,PDF
grib2/4/238/9,Источник или поглотитель,,9,,Ископаемое топливо,,,,Operational,PDF
grib2/4/238/10,Источник или поглотитель,,10,,Водно-болотные угодья,,,,Operational,PDF
grib2/4/238/11,Источник или поглотитель,,11,,Океаны,,,,Operational,PDF
grib2/4/238/12-191,Источник или поглотитель,,12-191,,Зарезервированы,,,,Operational,PDF
grib2/4/238/192-254,Источник или поглотитель,,192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/238/255,Источник или поглотитель,,255,,Отсутствующее,,,,Operational,PDF
