ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/2/0/5/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",0,,Результирующий поток длинноволновой радиации (у поверхности),,1,Вт ⋅ м-2,Deprecated,PDF
grib2/4/2/0/5/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",1,,Результирующий поток длинноволновой радиации (на верхней границе атмосферы),,1,Вт ⋅ м-2,Deprecated,PDF
grib2/4/2/0/5/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",2,,Поток длинноволновой радиации,,1,Вт ⋅ м-2,Deprecated,PDF
grib2/4/2/0/5/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",3,,Нисходящий поток длинноволновой радиации,,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/0/5/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",4,,Восходящий поток длинноволновой радиации,,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/0/5/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",5,,Результирующий поток длинноволновой радиации,,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/0/5/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",6,,Результирующий поток длинноволновой радиации (безоблачное небо),,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/0/5/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",7,,Яркостная температура,,,К,Operational,PDF
grib2/4/2/0/5/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",8,,"Нисходящий поток длинноволновой радиации, ясное небо",,,Вт ⋅ м-2,Operational,PDF
grib2/4/2/0/5/9-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",9-191,,Зарезервированы,,,,Operational,PDF
grib2/4/2/0/5/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",192-254,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/4/2/0/5/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 5: длинноволновая радиация",255,,Отсутствующий,,,,Operational,PDF
