ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/2/3/1/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",0,,Оценка осадков,,,кг ⋅ м-2,Operational,PDF
grib2/4/2/3/1/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",1,,Мгновенная интенсивность дождя,,,кг ⋅ м-2 ⋅ с-1,Operational,PDF
grib2/4/2/3/1/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",2,,Верхняя граница облаков,,,м,Operational,PDF
grib2/4/2/3/1/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",3,,Индикатор качества верхней границы облаков,,,(Кодовая таблица 4.219),Operational,PDF
grib2/4/2/3/1/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",4,,Оценка компоненты ветра u,,,м ⋅ с-1,Operational,PDF
grib2/4/2/3/1/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",5,,Оценка компоненты ветра v,,,м ⋅ с-1,Operational,PDF
grib2/4/2/3/1/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",6,,Количество использованных пикселей,,,Числ.,Operational,PDF
grib2/4/2/3/1/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",7,,Солнечный зенитный угол,,,°,Operational,PDF
grib2/4/2/3/1/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",8,,Относительный азимутальный угол,,,°,Operational,PDF
grib2/4/2/3/1/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",9,,"Отражательная способность в канале 0,6 микрона",,,%,Operational,PDF
grib2/4/2/3/1/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",10,,"Отражательная способность в канале 0,8 микрона",,,%,Operational,PDF
grib2/4/2/3/1/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 1: количественная продукция",11,,"Отражательная способность в канале 1,6 микрона",,,%,Operational,PDF
