ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/0/15/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",0,,Ширина основного спектра,,,м ⋅ с -1,Operational,Original
grib2/4/2/0/15/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",1,,Основной коэффициент отражения,,,дБ,Operational,Original
grib2/4/2/0/15/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",2,,Основная радиальная скорость,,,м ⋅ с -1,Operational,Original
grib2/4/2/0/15/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",3,,Интегрированное по вертикали содержание жидкой воды (VIL),,,кг ⋅ м -2,Operational,Original
grib2/4/2/0/15/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",4,,Основной коэффициент отражения от максимального слоя,,,дБ,Operational,Original
grib2/4/2/0/15/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",5,,Осадки,,2,кг ⋅ м -2,Deprecated,Original
grib2/4/2/0/15/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",6,,Спектры радиолокатора (1),,,—,Operational,Original
grib2/4/2/0/15/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",7,,Спектры радиолокатора (2),,,—,Operational,Original
grib2/4/2/0/15/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",8,,Спектры радиолокатора (3),,,—,Operational,Original
grib2/4/2/0/15/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",9,,Отражательная способность облачных капель,,,дБ,Operational,Original
grib2/4/2/0/15/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",10,,Отражательная способность облачного льда,,,дБ,Operational,Original
grib2/4/2/0/15/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",11,,Отражательная способность снега,,,дБ,Operational,Original
grib2/4/2/0/15/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",12,,Отражательная способность дождевых осадков,,,дБ,Operational,Original
grib2/4/2/0/15/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",13,,Отражательная способность снежной крупы,,,дБ,Operational,Original
grib2/4/2/0/15/14,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",14,,Отражательная способность града,,,дБ,Operational,Original
grib2/4/2/0/15/15,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",15,,Отражательная способность при гибридном сканировании,,,дБ,Operational,Original
grib2/4/2/0/15/16,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",16,,Высота отражательной способности при гибридном сканировании,,,м,Operational,Original
grib2/4/2/0/15/17-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",17-191,,Зарезервированы,,,,,Original
grib2/4/2/0/15/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/2/0/15/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 15: радиолокационная",255,,Отсутствующий,,,,Operational,Original
