ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translation_source
grib2/4/224/0,Категориальный ориентировочный прогноз,,0,,Отсутствие области риска,,,,Operational,PDF
grib2/4/224/1,Категориальный ориентировочный прогноз,,1,,Зарезервировано,,,,Operational,PDF
grib2/4/224/2,Категориальный ориентировочный прогноз,,2,,Область общего риска грозы,,,,Operational,PDF
grib2/4/224/3,Категориальный ориентировочный прогноз,,3,,Зарезервировано,,,,Operational,PDF
grib2/4/224/4,Категориальный ориентировочный прогноз,,4,,Область незначительного риска,,,,Operational,PDF
grib2/4/224/5,Категориальный ориентировочный прогноз,,5,,Зарезервировано,,,,Operational,PDF
grib2/4/224/6,Категориальный ориентировочный прогноз,,6,,Область умеренного риска,,,,Operational,PDF
grib2/4/224/7,Категориальный ориентировочный прогноз,,7,,Зарезервировано,,,,Operational,PDF
grib2/4/224/8,Категориальный ориентировочный прогноз,,8,,Область высокого риска,,,,Operational,PDF
grib2/4/224/9-10,Категориальный ориентировочный прогноз,,9-10,,Зарезервированы,,,,Operational,PDF
grib2/4/224/11,Категориальный ориентировочный прогноз,,11,,Область риска сухой грозы (сухая молния),,,,Operational,PDF
grib2/4/224/12-13,Категориальный ориентировочный прогноз,,12-13,,Зарезервированы,,,,Operational,PDF
grib2/4/224/14,Категориальный ориентировочный прогноз,,14,,Область критического риска,,,,Operational,PDF
grib2/4/224/15-17,Категориальный ориентировочный прогноз,,15-17,,Зарезервированы,,,,Operational,PDF
grib2/4/224/18,Категориальный ориентировочный прогноз,,18,,Область чрезвычайно критического риска,,,,Operational,PDF
grib2/4/224/19-254,Категориальный ориентировочный прогноз,,19-254,,Зарезервированы,,,,Operational,PDF
grib2/4/224/255,Категориальный ориентировочный прогноз,,255,,Отсутствующее,,,,Operational,PDF
