ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/243/0,Класс тайла,,0,,Зарезервирована,,,,Operational,Original
grib2/4/243/1,Класс тайла,,1,,Вечнозеленый широколиственный лес,,,,Operational,Original
grib2/4/243/2,Класс тайла,,2,,Листопадный широколиственный сомкнутый лес,,,,Operational,Original
grib2/4/243/3,Класс тайла,,3,,Листопадный широколиственный редкий лес,,,,Operational,Original
grib2/4/243/4,Класс тайла,,4,,Вечнозеленый листопадный хвойный лес,,,,Operational,Original
grib2/4/243/5,Класс тайла,,5,,Листопадный хвойный лес,,,,Operational,Original
grib2/4/243/6,Класс тайла,,6,,Смешанные лиственные деревья,,,,Operational,Original
grib2/4/243/7,Класс тайла,,7,,Затапливаемые пресной водой деревья,,,,Operational,Original
grib2/4/243/8,Класс тайла,,8,,Затапливаемые соленой водой деревья,,,,Operational,Original
grib2/4/243/9,Класс тайла,,9,,Мозаичная древесная / естественная растительность,,,,Operational,Original
grib2/4/243/10,Класс тайла,,10,,Сгоревший лесной покров,,,,Operational,Original
grib2/4/243/11,Класс тайла,,11,,Сомкнутые-редкие вечнозеленые кустарники,,,,Operational,Original
grib2/4/243/12,Класс тайла,,12,,Сомкнутые-редкие листопадные кустарники,,,,Operational,Original
grib2/4/243/13,Класс тайла,,13,,Густая и редкая травяная растительность,,,,Operational,Original
grib2/4/243/14,Класс тайла,,14,,Редкая травяная или травянистая растительность,,,,Operational,Original
grib2/4/243/15,Класс тайла,,15,,Затапливаемые кустарники или травяная растительность,,,,Operational,Original
grib2/4/243/16,Класс тайла,,16,,Обрабатываемые и управляемые районы,,,,Operational,Original
grib2/4/243/17,Класс тайла,,17,,Мозаичная зерновая/древесная/естественная растительность,,,,Operational,Original
grib2/4/243/18,Класс тайла,,18,,Мозаичная зерновая/кустарниковая/травянистая растительность,,,,Operational,Original
grib2/4/243/19,Класс тайла,,19,,Безлесные участки,,,,Operational,Original
grib2/4/243/20,Класс тайла,,20,,Вода,,,,Operational,Original
grib2/4/243/21,Класс тайла,,21,,Снег и лед,,,,Operational,Original
grib2/4/243/22,Класс тайла,,22,,Искусственная поверхность Значение,,,,Operational,Original
grib2/4/243/23,Класс тайла,,23,,Океан,,,,Operational,Original
grib2/4/243/24,Класс тайла,,24,,Орошаемые пахотные земли,,,,Operational,Original
grib2/4/243/25,Класс тайла,,25,,Богарные пахотные земли,,,,Operational,Original
grib2/4/243/26,Класс тайла,,26,,Мозаичная пахотная земля (50-70 %) — растительность (20-50 %),,,,Operational,Original
grib2/4/243/27,Класс тайла,,27,,Мозаичная растительность (50-70 %) — пахотная земля (20-50 %),,,,Operational,Original
grib2/4/243/28,Класс тайла,,28,,Сомкнутый широколиственный вечнозеленый лес,,,,Operational,Original
grib2/4/243/29,Класс тайла,,29,,Сомкнутый хвойный вечнозеленый лес,,,,Operational,Original
grib2/4/243/30,Класс тайла,,30,,Редкий хвойный листопадный лес,,,,Operational,Original
grib2/4/243/31,Класс тайла,,31,,Смешанный широколиственный и хвойный лес,,,,Operational,Original
grib2/4/243/32,Класс тайла,,32,,Мозаичные кустарниковые ярусы (50-70 %) — луговые угодья (20-50 %),,,,Operational,Original
grib2/4/243/33,Класс тайла,,33,,Мозаичные луговые угодья (50-70 %) — кустарниковые ярусы (20-50 %),,,,Operational,Original
grib2/4/243/34,Класс тайла,,34,,Сомкнутые-редкие кустарниковые ярусы,,,,Operational,Original
grib2/4/243/35,Класс тайла,,35,,Редкая растительность,,,,Operational,Original
grib2/4/243/36,Класс тайла,,36,,Сомкнутый-редкий регулярно затапливаемый лес,,,,Operational,Original
grib2/4/243/37,Класс тайла,,37,,Сомкнутые постоянно затапливаемые лес или кустарники,,,,Operational,Original
grib2/4/243/38,Класс тайла,,38,,Сомкнутые-редкие регулярно затапливаемые луговые угодья,,,,Operational,Original
grib2/4/243/39,Класс тайла,,39,,Не определено,,,,Operational,Original
grib2/4/243/40-32767,Класс тайла,,40-32767,,Зарезервированы Зарезервировано для местного использования,,,,Operational,Original
