ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/2/4/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",0,,"Ориентировочный прогноз, связанный с пожарами",,,Кодовая таблица 4.224,Operational,Original
grib2/4/2/2/4/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",1,,"Ориентировочный прогноз, связанный с пожарами, вызываемыми сухой грозой",,,Кодовая таблица 4.224,Operational,Original
grib2/4/2/2/4/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",2,,Индекс Хейнза,,,Числ.,Operational,Original
grib2/4/2/2/4/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",3,,Выгоревшая площадь,,,%,Operational,Original
grib2/4/2/2/4/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",4,,Индекс Фосберга,,87,Числ.,Operational,Original
grib2/4/2/2/4/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",5,,Показатель лесопожарной опасности по условиям погоды (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",6,,Код влажности мелких горючих материалов (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",7,,Код содержания влаги в подстилке и слаборазложившемся гумусовом горизонте (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",8,,Код засухи (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",9,,Показатель начального распространения пожара (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",10,,Показатель кумулятивного влияния предыдущего засушливого периода на пожарную опасность (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",11,,Суточный показатель степени воздействия пожара (Лесная служба Канады),,,Числ.,Operational,Original
grib2/4/2/2/4/12-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",12-191,,Зарезервированы,,,,,Original
grib2/4/2/2/4/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/2/2/4/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 2 — Продукция, связанная с поверхностью суши, категория параметра 4: продукция, связанная с погодой, благоприятствующей возникновению пожаров",255,,Отсутствующий,,,,Operational,Original
