ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_en,Status,translation_source
grib2/4/1/0/0,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,0,,Temperatura,,,,Operational,PDF
grib2/4/1/0/1,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,1,,Humedad,,,,Operational,PDF
grib2/4/1/0/2,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,2,,Impulso,,,,Operational,PDF
grib2/4/1/0/3,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,3,,Masa,,,,Operational,PDF
grib2/4/1/0/4,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,4,,Radiación de onda corta,,,,Operational,PDF
grib2/4/1/0/5,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,5,,Radiación de onda larga,,,,Operational,PDF
grib2/4/1/0/6,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,6,,Nubosidad,,,,Operational,PDF
grib2/4/1/0/7,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,7,,Índices de estabilidad termodinámica,,,,Operational,PDF
grib2/4/1/0/8,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,8,,Índices de estabilidad cinemática,,46,,Deprecated,PDF
grib2/4/1/0/9,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,9,,Probabilidades de temperatura,,46,,Deprecated,PDF
grib2/4/1/0/10,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,10,,Probabilidades de humedad,,46,,Deprecated,PDF
grib2/4/1/0/11,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,11,,"Previsión de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,46,,Deprecated,PDF
grib2/4/1/0/12,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,12,,Probabilidades de impulso,,46,,Deprecated,PDF
grib2/4/1/0/13,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,13,,Probabilidades de masa,,,,Operational,PDF
grib2/4/1/0/14,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,14,,Aerosoles,,,,Operational,PDF
grib2/4/1/0/15,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,15,,"Gases en trazas (por ejemplo, ozono, CO₂)",,,,Operational,PDF
grib2/4/1/0/16,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,16,,Radar,,,,Operational,PDF
grib2/4/1/0/17,Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,17,,Imágenes de radar previstas,,,,Operational,PDF
