ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/49/10,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/49/11,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/49/12-13,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",12-13,2,Aerosol type,(see Common Code table C-14),,CCT-14,,Operational,Original
grib2/4/49/14,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",14,1,Type of interval for first and second size,(see Code table 4.91),,4.91,,Operational,Original
grib2/4/49/15,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",15,1,Scale factor of first size,,,,,Operational,Original
grib2/4/49/16-19,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",16-19,4,Scaled value of first size in metres,,,,,Operational,Original
grib2/4/49/20,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",20,1,Scale factor of second size,,,,,Operational,Original
grib2/4/49/21-24,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",21-24,4,Scaled value of second size in metres,,,,,Operational,Original
grib2/4/49/25,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",25,1,Type of interval for first and second wavelength,(see Code table 4.91),,4.91,,Operational,Original
grib2/4/49/26,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",26,1,Scale factor of first wavelength,,,,,Operational,Original
grib2/4/49/27-30,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",27-30,4,Scaled value of first wavelength in metres,,,,,Operational,Original
grib2/4/49/31,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",31,1,Scale factor of second wavelength,,,,,Operational,Original
grib2/4/49/32-35,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",32-35,4,Scaled value of second wavelength in metres,,,,,Operational,Original
grib2/4/49/36,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",36,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/49/37,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",37,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/49/38,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",38,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/49/39-40,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",39-40,2,Hours of observational data cut-off after reference time,(see Note),33,,,Operational,Original
grib2/4/49/41,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",41,1,Minutes of observational data cut-off after reference time,,,,,Operational,Original
grib2/4/49/42,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",42,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/49/43-46,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",43-46,4,Forecast time in units defined by octet 42,,,,,Operational,Original
grib2/4/49/47,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",47,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/49/48,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",48,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/49/49-52,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",49-52,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/49/53,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",53,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/49/54,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",54,1,Scale factor of second fixed surface,,,,,Operational,Original
grib2/4/49/55-58,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",55-58,4,Scaled value of second fixed surface,,,,,Operational,Original
grib2/4/49/59,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",59,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational,Original
grib2/4/49/60,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",60,1,Perturbation number,,,,,Operational,Original
grib2/4/49/61,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol",61,1,Number of forecasts in ensemble,,,,,Operational,Original
