ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/1100/15,Hovmöller diagram grid with points equally spaced on the horizontal,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Experimental,na
grib2/3/1100/16,Hovmöller diagram grid with points equally spaced on the horizontal,16,1,Scale factor of radius of spherical Earth,,,,,Experimental,na
grib2/3/1100/17-20,Hovmöller diagram grid with points equally spaced on the horizontal,17-20,4,Scaled value of radius of spherical Earth,,,,,Experimental,na
grib2/3/1100/21,Hovmöller diagram grid with points equally spaced on the horizontal,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Experimental,na
grib2/3/1100/22-25,Hovmöller diagram grid with points equally spaced on the horizontal,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Experimental,na
grib2/3/1100/26,Hovmöller diagram grid with points equally spaced on the horizontal,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Experimental,na
grib2/3/1100/27-30,Hovmöller diagram grid with points equally spaced on the horizontal,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Experimental,na
grib2/3/1100/31-34,Hovmöller diagram grid with points equally spaced on the horizontal,31-34,4,Number of horizontal points,,,,,Experimental,na
grib2/3/1100/35-38,Hovmöller diagram grid with points equally spaced on the horizontal,35-38,4,Basic angle of the initial production domain,(see Note 1),9,,,Experimental,na
grib2/3/1100/39-42,Hovmöller diagram grid with points equally spaced on the horizontal,39-42,4,Subdivisions of basic angle used to define extreme longitudes and latitudes,(see Note 1),9,,,Experimental,na
grib2/3/1100/43-46,Hovmöller diagram grid with points equally spaced on the horizontal,43-46,4,La1 - latitude of first grid point,(see Note 1),9,,,Experimental,na
grib2/3/1100/47-50,Hovmöller diagram grid with points equally spaced on the horizontal,47-50,4,Lo1 - longitude of first grid point,(see Note 1),9,,,Experimental,na
grib2/3/1100/51,Hovmöller diagram grid with points equally spaced on the horizontal,51,1,Scanning mode,(see Flag table 3.4),,,3.4,Experimental,na
grib2/3/1100/52-55,Hovmöller diagram grid with points equally spaced on the horizontal,52-55,4,La2 - latitude of last grid point,(see Note 1),9,,,Experimental,na
grib2/3/1100/56-59,Hovmöller diagram grid with points equally spaced on the horizontal,56-59,4,Lo2 - longitude of last grid point,(see Note 1),9,,,Experimental,na
grib2/3/1100/60,Hovmöller diagram grid with points equally spaced on the horizontal,60,1,Type of horizontal line,(see Code table 3.20),,3.20,,Experimental,na
grib2/3/1100/61-64,Hovmöller diagram grid with points equally spaced on the horizontal,61-64,4,NT - number of time steps,,,,,Experimental,na
grib2/3/1100/65,Hovmöller diagram grid with points equally spaced on the horizontal,65,1,Unit of offset from reference time,(see Code table 4.4),,,,Experimental,na
grib2/3/1100/66-69,Hovmöller diagram grid with points equally spaced on the horizontal,66-69,4,Offset from reference of first time (negative value when first bit set),,,,,Experimental,na
grib2/3/1100/70,Hovmöller diagram grid with points equally spaced on the horizontal,70,1,Type of time increment,(see Code table 4.11),,,,Experimental,na
grib2/3/1100/71,Hovmöller diagram grid with points equally spaced on the horizontal,71,1,Unit of time increment,(see Code table 4.4),,,,Experimental,na
grib2/3/1100/72-75,Hovmöller diagram grid with points equally spaced on the horizontal,72-75,4,Time increment (negative value when first bit set),,,,,Experimental,na
grib2/3/1100//1,Hovmöller diagram grid with points equally spaced on the horizontal,,,76-82   Last date/time,,,,,Experimental,na
grib2/3/1100/76-77,Hovmöller diagram grid with points equally spaced on the horizontal,76-77,2,Year,,,,,Experimental,na
grib2/3/1100/78,Hovmöller diagram grid with points equally spaced on the horizontal,78,1,Month,,,,,Experimental,na
grib2/3/1100/79,Hovmöller diagram grid with points equally spaced on the horizontal,79,1,Day,,,,,Experimental,na
grib2/3/1100/80,Hovmöller diagram grid with points equally spaced on the horizontal,80,1,Hour,,,,,Experimental,na
grib2/3/1100/81,Hovmöller diagram grid with points equally spaced on the horizontal,81,1,Minute,,,,,Experimental,na
grib2/3/1100/82,Hovmöller diagram grid with points equally spaced on the horizontal,82,1,Second,,,,,Experimental,na
