ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/31/15,Albers equal area,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,na
grib2/3/31/16,Albers equal area,16,1,Scale factor of radius of spherical Earth,,,,,Operational,na
grib2/3/31/17-20,Albers equal area,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational,na
grib2/3/31/21,Albers equal area,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,na
grib2/3/31/22-25,Albers equal area,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,na
grib2/3/31/26,Albers equal area,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,na
grib2/3/31/27-30,Albers equal area,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,na
grib2/3/31/31-34,Albers equal area,31-34,4,Nx - number of points along the x-axis,,,,,Operational,na
grib2/3/31/35-38,Albers equal area,35-38,4,Ny - number of points along the y-axis,,,,,Operational,na
grib2/3/31/39-42,Albers equal area,39-42,4,La1 - latitude of first grid point,,,,,Operational,na
grib2/3/31/43-46,Albers equal area,43-46,4,Lo1 - longitude of first grid point,,,,,Operational,na
grib2/3/31/47,Albers equal area,47,1,Resolution and component flags,(see Note 3 and Flag table 3.3),114,,3.3,Operational,na
grib2/3/31/48-51,Albers equal area,48-51,4,LaD - latitude where Dx and Dy are specified,,,,,Operational,na
grib2/3/31/52-55,Albers equal area,52-55,4,LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases,(see Note 4),51,,,Operational,na
grib2/3/31/56-59,Albers equal area,56-59,4,Dx - x-direction grid length,(see Note 1),28,,,Operational,na
grib2/3/31/60-63,Albers equal area,60-63,4,Dy - y-direction grid length,(see Note 1),28,,,Operational,na
grib2/3/31/64,Albers equal area,64,1,Projection centre flag,(see Flag table 3.5),,,3.5,Operational,na
grib2/3/31/65,Albers equal area,65,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational,na
grib2/3/31/66-69,Albers equal area,66-69,4,Latin 1 - first latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,na
grib2/3/31/70-73,Albers equal area,70-73,4,Latin 2 - second latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,na
grib2/3/31/74-77,Albers equal area,74-77,4,Latitude of the southern pole of projection,,,,,Operational,na
grib2/3/31/78-81,Albers equal area,78-81,4,Longitude of the southern pole of projection,,,,,Operational,na
