ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/30/15,Lambert conformal,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,Original
grib2/3/30/16,Lambert conformal,16,1,Scale factor of radius of spherical Earth,,,,,Operational,Original
grib2/3/30/17-20,Lambert conformal,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational,Original
grib2/3/30/21,Lambert conformal,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/30/22-25,Lambert conformal,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/30/26,Lambert conformal,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/30/27-30,Lambert conformal,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/30/31-34,Lambert conformal,31-34,4,Nx - number of points along the x-axis,,,,,Operational,Original
grib2/3/30/35-38,Lambert conformal,35-38,4,Ny - number of points along the y-axis,,,,,Operational,Original
grib2/3/30/39-42,Lambert conformal,39-42,4,La1 - latitude of first grid point,,,,,Operational,Original
grib2/3/30/43-46,Lambert conformal,43-46,4,Lo1 - longitude of first grid point,,,,,Operational,Original
grib2/3/30/47,Lambert conformal,47,1,Resolution and component flags,(see Note 3 and Flag table 3.3),114,,3.3,Operational,Original
grib2/3/30/48-51,Lambert conformal,48-51,4,LaD - latitude where Dx and Dy are specified,,,,,Operational,Original
grib2/3/30/52-55,Lambert conformal,52-55,4,LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases,(see Note 4),51,,,Operational,Original
grib2/3/30/56-59,Lambert conformal,56-59,4,Dx - x-direction grid length,(see Note 1),28,,,Operational,Original
grib2/3/30/60-63,Lambert conformal,60-63,4,Dy - y-direction grid length,(see Note 1),28,,,Operational,Original
grib2/3/30/64,Lambert conformal,64,1,Projection centre flag,(see Flag table 3.5),,,3.5,Operational,Original
grib2/3/30/65,Lambert conformal,65,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational,Original
grib2/3/30/66-69,Lambert conformal,66-69,4,Latin 1 - first latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,Original
grib2/3/30/70-73,Lambert conformal,70-73,4,Latin 2 - second latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,Original
grib2/3/30/74-77,Lambert conformal,74-77,4,Latitude of the southern pole of projection,,,,,Operational,Original
grib2/3/30/78-81,Lambert conformal,78-81,4,Longitude of the southern pole of projection,,,,,Operational,Original
