ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/82/10,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,na
grib2/4/82/11,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,na
grib2/4/82/12-13,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",12-13,2,Aerosol type,(see Code table 4.233),,4.233,,Operational,na
grib2/4/82/14,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",14,1,Source or sink,(see Code table 2.238),,2.238,,Operational,na
grib2/4/82/15,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",15,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational,na
grib2/4/82/16,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",16,1,Scale factor of first size,,,,,Operational,na
grib2/4/82/17-20,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",17-20,4,Scaled value of first size in metres,,,,,Operational,na
grib2/4/82/21,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",21,1,Scale factor of second size,,,,,Operational,na
grib2/4/82/22-25,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",22-25,4,Scaled value of second size in metres,,,,,Operational,na
grib2/4/82/26,"average, accumulation, and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for aerosol with source or sink",26,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,na
