ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/123/10,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,PDF
grib2/4/123/11,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,PDF
grib2/4/123/12,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,PDF
grib2/4/123/13,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,PDF
grib2/4/123/14,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,14,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,PDF
grib2/4/123/15-16,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,15-16,2,Hours of observational data cut-off after reference time,(see Note 1),33,,,Operational,PDF
grib2/4/123/17,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,17,1,Minutes of observational data cut-off after reference time,,,,,Operational,PDF
grib2/4/123/18,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,PDF
grib2/4/123/19-22,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,19-22,4,Forecast time in units defined by previous octet,,,,,Operational,PDF
grib2/4/123/23,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,PDF
grib2/4/123/24,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,24,1,Scale factor of first fixed surface,,,,,Operational,PDF
grib2/4/123/25-28,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,25-28,4,Scaled value of first fixed surface,,,,,Operational,PDF
grib2/4/123/29,Probability forecasts from large ensembles with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,PDF
