ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/40/15,Gaussian latitude/longitude,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,PDF
grib2/3/40/16,Gaussian latitude/longitude,16,1,Scale factor of radius of spherical Earth,,,,,Operational,PDF
grib2/3/40/17-20,Gaussian latitude/longitude,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational,PDF
grib2/3/40/21,Gaussian latitude/longitude,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/40/22-25,Gaussian latitude/longitude,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/40/26,Gaussian latitude/longitude,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/40/27-30,Gaussian latitude/longitude,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/40/31-34,Gaussian latitude/longitude,31-34,4,Ni - number of points along a parallel,,,,,Operational,PDF
grib2/3/40/35-38,Gaussian latitude/longitude,35-38,4,Nj - number of points along a meridian,,,,,Operational,PDF
grib2/3/40/39-42,Gaussian latitude/longitude,39-42,4,Basic angle of the initial production domain,(see Note 1),9,,,Operational,PDF
grib2/3/40/43-46,Gaussian latitude/longitude,43-46,4,"Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments",(see Note 1),9,,,Operational,PDF
grib2/3/40/47-50,Gaussian latitude/longitude,47-50,4,La1 - latitude of first grid point,(see Note 1),9,,,Operational,PDF
grib2/3/40/51-54,Gaussian latitude/longitude,51-54,4,Lo1 - longitude of first grid point,(see Note 1),9,,,Operational,PDF
grib2/3/40/55,Gaussian latitude/longitude,55,1,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational,PDF
grib2/3/40/56-59,Gaussian latitude/longitude,56-59,4,La2 - latitude of last grid point,(see Note 1),9,,,Operational,PDF
grib2/3/40/60-63,Gaussian latitude/longitude,60-63,4,Lo2 - longitude of last grid point,(see Note 1),9,,,Operational,PDF
grib2/3/40/64-67,Gaussian latitude/longitude,64-67,4,Di - i direction increment,(see Notes 1 and 5),"9,45",,,Operational,PDF
grib2/3/40/68-71,Gaussian latitude/longitude,68-71,4,N - number of parallels between a pole and the Equator,(see Note 2),87,,,Operational,PDF
grib2/3/40/72,Gaussian latitude/longitude,72,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational,PDF
grib2/3/40/73-nn,Gaussian latitude/longitude,73-nn,,List of number of points along each meridian or parallel,(see Notes 4 and 6),"4,124",,,Operational,PDF
