ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/61/15,spectral Mercator with modelling subdomains definition,15,1,Spectral representation type,(see Code table 3.6),,3.6,,Operational,PDF
grib2/3/61/16-19,spectral Mercator with modelling subdomains definition,16-19,4,N - bi-Fourier resolution parameter,,,,,Operational,PDF
grib2/3/61/20-23,spectral Mercator with modelling subdomains definition,20-23,4,M - bi-Fourier resolution parameter,,,,,Operational,PDF
grib2/3/61/24,spectral Mercator with modelling subdomains definition,24,1,Bi-Fourier truncation type,(see Code table 3.25),,3.25,,Operational,PDF
grib2/3/61/25-32,spectral Mercator with modelling subdomains definition,25-32,8,Lx - size in metres of the domain along x-axis,,,,,Operational,PDF
grib2/3/61/33-40,spectral Mercator with modelling subdomains definition,33-40,8,Lux - size in metres of model forecast subdomain along x-axis,,,,,Operational,PDF
grib2/3/61/41-48,spectral Mercator with modelling subdomains definition,41-48,8,Lcx - width in metres of coupling area within forecast domain along x-axis,,,,,Operational,PDF
grib2/3/61/49-56,spectral Mercator with modelling subdomains definition,49-56,8,Ly - size in metres of the domain along y-axis,,,,,Operational,PDF
grib2/3/61/57-64,spectral Mercator with modelling subdomains definition,57-64,8,Luy - size in metres of model forecast subdomain along y-axis,,,,,Operational,PDF
grib2/3/61/65-72,spectral Mercator with modelling subdomains definition,65-72,8,Lcy - width in metres of coupling area within forecast domain along y-axis,,,,,Operational,PDF
grib2/3/61/73,spectral Mercator with modelling subdomains definition,73,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,PDF
grib2/3/61/74,spectral Mercator with modelling subdomains definition,74,1,Scale factor of radius of spherical Earth,,,,,Operational,PDF
grib2/3/61/75-78,spectral Mercator with modelling subdomains definition,75-78,4,Scaled value of radius of spherical Earth,,,,,Operational,PDF
grib2/3/61/79,spectral Mercator with modelling subdomains definition,79,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/61/80-83,spectral Mercator with modelling subdomains definition,80-83,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/61/84,spectral Mercator with modelling subdomains definition,84,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/61/85-88,spectral Mercator with modelling subdomains definition,85-88,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/61/89-92,spectral Mercator with modelling subdomains definition,89-92,4,La1 - latitude of first grid point,,,,,Operational,PDF
grib2/3/61/93-96,spectral Mercator with modelling subdomains definition,93-96,4,Lo1 - longitude of first grid point,,,,,Operational,PDF
grib2/3/61/97-100,spectral Mercator with modelling subdomains definition,97-100,4,LaD - latitude(s) at which the Mercator projection intersects the Earth (latitude(s) where Di and Dj are specified),,,,,Operational,PDF
grib2/3/61/101-104,spectral Mercator with modelling subdomains definition,101-104,4,La2 - latitude of last grid point,,,,,Operational,PDF
grib2/3/61/105-108,spectral Mercator with modelling subdomains definition,105-108,4,Lo2 - longitude of last grid point,,,,,Operational,PDF
grib2/3/61/109-112,spectral Mercator with modelling subdomains definition,109-112,4,"Orientation of the grid, angle between i-direction on the map and the Equator",(see Note 1),,,,Operational,PDF
