ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/12/10,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/12/11,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/12/12,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/12/13,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/12/14,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/12/15-16,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,15-16,2,Hours after reference time of data cut-off,(see Note 1),33,,,Operational,Original
grib2/4/12/17,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,17,1,Minutes after reference time of data cut-off,,,,,Operational,Original
grib2/4/12/18,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/12/19-22,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,19-22,4,Forecast time in units defined by octet 18,(see Note 2),111,,,Operational,Original
grib2/4/12/23,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/12/24,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,24,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/12/25-28,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,25-28,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/12/29,derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
