ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/56/10,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",10,1,Parameter category,(see Code table 4.1),,4.1,,Deprecated,Original
grib2/4/56/11,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",11,1,Parameter number,(see Code table 4.2),,4.2,,Deprecated,Original
grib2/4/56/12,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",12,1,Tile classification,(see Code table 4.242),,4.242,,Deprecated,Original
grib2/4/56/13,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",13,1,Total number (NT) of tile/attribute pairs,(see Notes 1 and 2),"20,58",,,Deprecated,Original
grib2/4/56/14,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",14,1,Number of used spatial tiles (NUT),(see Notes 1 and 2),"20,58",,,Deprecated,Original
grib2/4/56/15,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",15,1,"Tile index (ITN = {1,…, NUT})",(see Note 1),58,,,Deprecated,Original
grib2/4/56/16,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",16,1,Number of used tile attributes (NAT) for tile ITN,(see Note 1),58,,,Deprecated,Original
grib2/4/56/17,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",17,1,"Attribute of tile (A = {A(1),…, A(NAT(ITN))})",(see Code table 4.241 and Note 1),58,4.241,,Deprecated,Original
grib2/4/56/18,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",18,1,Type of generating process,(see Code table 4.3),,4.3,,Deprecated,Original
grib2/4/56/19,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",19,1,Background generating process identifier (defined by originating centre),,,,,Deprecated,Original
grib2/4/56/20,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",20,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Deprecated,Original
grib2/4/56/21-22,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",21-22,2,Hours of observational data cut-off after reference time,(see Note 3),33,,,Deprecated,Original
grib2/4/56/23,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",23,1,Minutes of observational data cut-off after reference time,,,,,Deprecated,Original
grib2/4/56/24,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",24,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Deprecated,Original
grib2/4/56/25-28,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",25-28,4,Forecast time in units defined by octet 24,,,,,Deprecated,Original
grib2/4/56/29,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",29,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Deprecated,Original
grib2/4/56/30,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",30,1,Scale factor of first fixed surface,,,,,Deprecated,Original
grib2/4/56/31-34,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",31-34,4,Scaled value of first fixed surface,,,,,Deprecated,Original
grib2/4/56/35,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",35,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Deprecated,Original
grib2/4/56/36,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",36,1,Scale factor of second fixed surface,,,,,Deprecated,Original
grib2/4/56/37-40,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",37-40,4,Scaled value of second fixed surface,,,,,Deprecated,Original
grib2/4/56/41,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",41,1,Perturbation number,,,,,Deprecated,Original
grib2/4/56/42,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",42,1,Number of forecasts in ensemble,,,,,Deprecated,Original
