ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/94/10,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,na
grib2/4/94/11,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,na
grib2/4/94/12-13,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",12-13,2,Input process identifier,(see Note 1),82,,,Operational,na
grib2/4/94/14-15,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",14-15,2,Input originating centre,(see Note 2 and Common Code table C-11),81,CCT-11,,Operational,na
grib2/4/94/16,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",16,1,Type of post-processing,(see Note 3),126,,,Operational,na
grib2/4/94/17,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",17,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,na
grib2/4/94/18,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",18,1,Background generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/94/19,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",19,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/94/20,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",20,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/94/21,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",21,1,Scale factor of first fixed surface,,,,,Operational,na
grib2/4/94/22-25,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",22-25,4,Scaled value of first fixed surface,,,,,Operational,na
grib2/4/94/26,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",26,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/94/27,"Post-processing individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a specified local time",27,1,Scale factor of second fixed surface,,,,,Operational,na
