ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/120/10,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/120/11,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/120/12,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/120/13,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/120/14,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/120/15-16,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,15-16,2,Hours after reference time of data cut-off,(see Note 1),33,,,Operational,Original
grib2/4/120/17,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,17,1,Minutes after reference time of data cut-off,,,,,Operational,Original
grib2/4/120/18,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/120/19-22,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,19-22,4,Forecast time in units defined by octet 18,(see Note 2),111,,,Operational,Original
grib2/4/120/23,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/120/24,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,24,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/120/25-28,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,25-28,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/120/29,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/120/30,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,30,1,Scale factor of second fixed surface,,,,,Operational,Original
grib2/4/120/31-34,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,31-34,4,Scaled value of second fixed surface,,,,,Operational,Original
grib2/4/120/35,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,35,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational,Original
grib2/4/120/36-39,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,36-39,4,Number of forecasts in ensemble,,,,,Operational,Original
grib2/4/120/40,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,40,1,Forecast probability number,,,,,Operational,Original
grib2/4/120/41,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,41,1,Total number of forecast probabilities,,,,,Operational,Original
grib2/4/120/42,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,42,1,Probability type,(see Code table 4.9),,4.9,,Operational,Original
grib2/4/120/43,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,43,1,Scale factor of lower limit,,,,,Operational,Original
grib2/4/120/44-47,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,44-47,4,Scaled value of lower limit,,,,,Operational,Original
grib2/4/120/48,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,48,1,Scale factor of upper limit,,,,,Operational,Original
grib2/4/120/49-52,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,49-52,4,Scaled value of upper limit,,,,,Operational,Original
grib2/4/120/53-54,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,53-54,2,Year of end of overall time interval,,,,,Operational,Original
grib2/4/120/55,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,55,1,Month of end of overall time interval,,,,,Operational,Original
grib2/4/120/56,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,56,1,Day of end of overall time interval,,,,,Operational,Original
grib2/4/120/57,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,57,1,Hour of end of overall time interval,,,,,Operational,Original
grib2/4/120/58,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,58,1,Minute of end of overall time interval,,,,,Operational,Original
grib2/4/120/59,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,59,1,Second of end of overall time interval,,,,,Operational,Original
grib2/4/120/60,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,60,1,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational,Original
grib2/4/120/61-64,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,61-64,4,Total number of data values missing in the statistical process,,,,,Operational,Original
grib2/4/120//1,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,65-76   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational,Original
grib2/4/120/65,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,65,1,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational,Original
grib2/4/120/66,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,66,1,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational,Original
grib2/4/120/67,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,67,1,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/120/68-71,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,68-71,4,"Length of the time range over which statistical processing is done, in units defined by the previous octet",,,,,Operational,Original
grib2/4/120/72,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,72,1,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/120/73-76,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,73-76,4,"Time increment between successive fields, in units defined by the previous octet",(see Notes 3 and 4),"7,95",,,Operational,Original
grib2/4/120//2,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,"77-nn   These octets are included only if n > 1, where nn = 64 + 12 x n",,,,,Operational,Original
grib2/4/120/77-88,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,77-88,12,"As octets 65 to 76, next innermost step of processing",,,,,Operational,Original
grib2/4/120/89-nn,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,89-nn,,"Additional time range specifications, included in accordance with the value of n. Contents as octets 65 to 76, repeated as necessary.",,,,,Operational,Original
