ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/136/10,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/136/11,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/136/12,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/136/13,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",13,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/136/14,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",14,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/136/15-16,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",15-16,2,Hours of observational data cut-off after reference time,(see Note 1),33,,,Operational,Original
grib2/4/136/17,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",17,1,Minutes of observational data cut-off after reference time,,,,,Operational,Original
grib2/4/136/18,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/136/19-22,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",19-22,4,Forecast time in units defined by previous octet,,,,,Operational,Original
grib2/4/136/23,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/136/24,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",24,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/136/25-28,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",25-28,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/136/29,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/136/30,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",30,1,Scale factor of second fixed surface,,,,,Operational,Original
grib2/4/136/31-34,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",31-34,4,Scaled value of second fixed surface,,,,,Operational,Original
grib2/4/136/35,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",35,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational,Original
grib2/4/136/36-39,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",36-39,4,Number of forecasts in ensemble,,,,,Operational,Original
grib2/4/136/40,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",40,1,Forecast probability number,,,,,Operational,Original
grib2/4/136/41,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",41,1,Total number of forecast probabilities,,,,,Operational,Original
grib2/4/136/42,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",42,1,Probability type,(see Code table 4.9),,4.9,,Operational,Original
grib2/4/136/43,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",43,1,Scale factor of lower limit,,,,,Operational,Original
grib2/4/136/44-47,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",44-47,4,Scaled value of lower limit,,,,,Operational,Original
grib2/4/136/48,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",48,1,Scale factor of upper limit,,,,,Operational,Original
grib2/4/136/49-52,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",49-52,4,Scaled value of upper limit,,,,,Operational,Original
grib2/4/136/53,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",53,1,Type of reference dataset,(see Code table 4.100),,4.100,,Operational,Original
grib2/4/136/54,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",54,1,Type of relation to reference dataset,(see Code table 4.101),,4.101,,Operational,Original
grib2/4/136/55,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",55,1,Number of additional parameters for reference period (NA),(see Note 2),164,,,Operational,Original
grib2/4/136//1,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",,,The next two entries are repeated NA times na=0:NA - can be 0 times if no parameters are necessary,,,,,Operational,Original
grib2/4/136/56+(na-1)*5,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",56+(na-1)*5,,Scale factor of additional parameters for reference period,,,,,Operational,Original
grib2/4/136/(57+(na-1)*5)-(60+(na-1)*5),"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",(57+(na-1)*5)-(60+(na-1)*5),,Scaled value of additional parameters for reference period,,,,,Operational,Original
grib2/4/136//2,"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",,,End of repeated NA sequence,,,,,Operational,Original
grib2/4/136/(56+NA*5)-(57+NA*5),"Probability forecasts of anomalies, significance and other derived products in relation to a reference period with spatiotemporal processing based on focal (moving window) statistics in relation to a reference period at a horizontal level or in at a point in time",(56+NA*5)-(57+NA*5),,Year of start of reference period,,,,,Operational,Original
