ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/20/15,polar stereographic projection,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,Original
grib2/3/20/16,polar stereographic projection,16,1,Scale factor of radius of spherical Earth,,,,,Operational,Original
grib2/3/20/17-20,polar stereographic projection,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational,Original
grib2/3/20/21,polar stereographic projection,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/20/22-25,polar stereographic projection,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/20/26,polar stereographic projection,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/20/27-30,polar stereographic projection,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,Original
grib2/3/20/31-34,polar stereographic projection,31-34,4,Nx - number of points along the x-axis,,,,,Operational,Original
grib2/3/20/35-38,polar stereographic projection,35-38,4,Ny - number of points along the y-axis,,,,,Operational,Original
grib2/3/20/39-42,polar stereographic projection,39-42,4,La1 - latitude of first grid point,,,,,Operational,Original
grib2/3/20/43-46,polar stereographic projection,43-46,4,Lo1 - longitude of first grid point,,,,,Operational,Original
grib2/3/20/47,polar stereographic projection,47,1,Resolution and component flags,(see Flag table 3.3 and Note 1),114,,3.3,Operational,Original
grib2/3/20/48-51,polar stereographic projection,48-51,4,LaD - latitude where Dx and Dy are specified,,,,,Operational,Original
grib2/3/20/52-55,polar stereographic projection,52-55,4,LoV - orientation of the grid,(see Note 2),51,,,Operational,Original
grib2/3/20/56-59,polar stereographic projection,56-59,4,Dx - x-direction grid length,(see Note 3),28,,,Operational,Original
grib2/3/20/60-63,polar stereographic projection,60-63,4,Dy - y-direction grid length,(see Note 3),28,,,Operational,Original
grib2/3/20/64,polar stereographic projection,64,1,Projection centre flag,(see Flag table 3.5),,,3.5,Operational,Original
grib2/3/20/65,polar stereographic projection,65,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational,Original
