ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/120/15-18,azimuth-range projection,15-18,4,Nb - number of data bins along radials,(see Note),1,,,Operational,PDF
grib2/3/120/19-22,azimuth-range projection,19-22,4,Nr - number of radials,,,,,Operational,PDF
grib2/3/120/23-26,azimuth-range projection,23-26,4,La1 - latitude of centre point,,,,,Operational,PDF
grib2/3/120/27-30,azimuth-range projection,27-30,4,Lo1 - longitude of centre point,,,,,Operational,PDF
grib2/3/120/31-34,azimuth-range projection,31-34,4,Dx - spacing of bins along radials,,,,,Operational,PDF
grib2/3/120/35-38,azimuth-range projection,35-38,4,Dstart - offset from origin to inner bound,,,,,Operational,PDF
grib2/3/120/39,azimuth-range projection,39,1,Scanning mode,(see Flag table 3.4),,,3.4,Operational,PDF
grib2/3/120//1,azimuth-range projection,,,40-(39+4Nr)   For each of Nr radials,,,,,Operational,PDF
grib2/3/120/(40+4(X-1))-(41+4(X-1)),azimuth-range projection,(40+4(X-1))-(41+4(X-1)),,"Azi - starting azimuth, degrees x 10 (degrees as north)",,,,,Operational,PDF
grib2/3/120/(42+4(X-1))-(43+4(X-1)),azimuth-range projection,(42+4(X-1))-(43+4(X-1)),,"Adelta - azimuthal width, degrees x 100 (+ clockwise, - counterclockwise), with X = 1 to Nr",,,,,Operational,PDF
