ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/99/10,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,na
grib2/4/99/11,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,na
grib2/4/99/12-13,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,12-13,2,Wave direction number,,,,,Operational,na
grib2/4/99/14-15,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,14-15,2,Number of wave directions (ND),,,,,Operational,na
grib2/4/99/16-17,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,16-17,2,Wave frequency number,,,,,Operational,na
grib2/4/99/18-19,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,18-19,2,Number of wave frequencies (NF),,,,,Operational,na
grib2/4/99/20,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,20,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,na
grib2/4/99/21,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,21,1,Background generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/99/22,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,22,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/99/23-24,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,23-24,2,Hours of observational data cut-off after reference time,(see Note 1),33,,,Operational,na
grib2/4/99/25,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,25,1,Minutes of observational data cut-off after reference time,,,,,Operational,na
grib2/4/99/26,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,26,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,na
grib2/4/99/27-30,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,27-30,4,Forecast time in units defined by previous octet,,,,,Operational,na
grib2/4/99/31,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,31,1,Scale factor of wave directions,,,,,Operational,na
grib2/4/99//1,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,,,The following entry of 4 octets is repeated ND times. (ND is defined in octets 14-15),,,,,Operational,na
grib2/4/99/(32+(ND-1)*4)-(35+(ND-1)*4),Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,(32+(ND-1)*4)-(35+(ND-1)*4),,Scaled values of wave directions,,,,,Operational,na
grib2/4/99/36+(ND-1)*4,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,36+(ND-1)*4,,Scale factor of wave frequencies,(see Note 2),162,,,Operational,na
grib2/4/99//2,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,,,The following entry of 4 octets is repeated NF times. (NF is defined in octets 18-19),,,,,Operational,na
grib2/4/99/(37+(ND-1)*4+(NF-1)*4)-(40+(ND-1)*4+(NF-1)*4),Analysis or forecast at a horizontal level or in a horizontal layer at a point in time for wave 2D spectra with explicit list of frequencies and directions,(37+(ND-1)*4+(NF-1)*4)-(40+(ND-1)*4+(NF-1)*4),,Scaled values of wave frequencies,(see Note 3),161,,,Operational,na
