ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/115/10,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/115/11,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/115/12,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",12,1,Tile classification,(see Code table 4.242),,4.242,,Operational,Original
grib2/4/115/13-14,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",13-14,2,Type of tile,(see Code table 4.252),,4.252,,Operational,Original
grib2/4/115/15,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",15,1,Number of used spatial tiles,,,,,Operational,Original
grib2/4/115/16,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",16,1,Number of used tile attribute combinations for type of tile,,,,,Operational,Original
grib2/4/115/17,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",17,1,Number of used tile attributes for tile attribute combination (NUTAFTAC),,,,,Operational,Original
grib2/4/115//1,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",,,"Repeat the following octet for each attribute of tile (n=1,NUTAFTAC)",,,,,Operational,Original
grib2/4/115/18+(n-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",18+(n-1),,Attribute of tile,(see Code table 4.241),,2.241,,Operational,Original
grib2/4/115//2,"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",,,End of repetition,,,,,Operational,Original
grib2/4/115/19+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",19+(NUTAFTAC-1),,Total number of tile attribute combinations,,,,,Operational,Original
grib2/4/115/20+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",20+(NUTAFTAC-1),,Tile index,,,,,Operational,Original
grib2/4/115/(21+(NUTAFTAC-1))-(36+(NUTAFTAC-1)),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",(21+(NUTAFTAC-1))-(36+(NUTAFTAC-1)),,UUID of data group,,,,,Operational,Original
grib2/4/115/37+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",37+(NUTAFTAC-1),,Type of generating process,,,,,Operational,Original
grib2/4/115/38+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",38+(NUTAFTAC-1),,Background process,,,,,Operational,Original
grib2/4/115/39+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",39+(NUTAFTAC-1),,Generating process identifier,,,,,Operational,Original
grib2/4/115/(40+(NUTAFTAC-1))-(41+(NUTAFTAC-1)),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",(40+(NUTAFTAC-1))-(41+(NUTAFTAC-1)),,Hours after data cut-off,,,,,Operational,Original
grib2/4/115/42+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",42+(NUTAFTAC-1),,Minutes after data cut-off,,,,,Operational,Original
grib2/4/115/43+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",43+(NUTAFTAC-1),,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/115/(44+(NUTAFTAC-1))-(47+(NUTAFTAC-1)),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",(44+(NUTAFTAC-1))-(47+(NUTAFTAC-1)),,Forecast time,,,,,Operational,Original
grib2/4/115/48+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",48+(NUTAFTAC-1),,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/115/49+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",49+(NUTAFTAC-1),,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/115/(50+(NUTAFTAC-1))-(53+(NUTAFTAC-1)),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",(50+(NUTAFTAC-1))-(53+(NUTAFTAC-1)),,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/115/54+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",54+(NUTAFTAC-1),,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/115/55+(NUTAFTAC-1),"Individual ensemble forecast, control and perturbed on generalized tiles at a horizontal level or in a horizontal layer at a point in time",55+(NUTAFTAC-1),,Scale factor of second fixed surface,,,,,Operational,Original
