ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/1002/10,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",10,1,Parameter category,(see Code table 4.1),,4.1,,Experimental,Original
grib2/4/1002/11,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",11,1,Parameter number,(see Code table 4.2),,4.2,,Experimental,Original
grib2/4/1002/12,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",12,1,Type of generating process,(see Code table 4.3),,4.3,,Experimental,Original
grib2/4/1002/13,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",13,1,Background generating process identifier (defined by originating centre),,,,,Experimental,Original
grib2/4/1002/14,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",14,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Experimental,Original
grib2/4/1002/15-16,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",15-16,2,Hours of observational data cut-off after reference time,(see Note 2),33,,,Experimental,Original
grib2/4/1002/17,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",17,1,Minutes of observational data cut-off after reference time,,,,,Experimental,Original
grib2/4/1002/18,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Experimental,Original
grib2/4/1002/19-22,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",19-22,4,Forecast time in units defined by octet 18,,,,,Experimental,Original
grib2/4/1002/23,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",23,1,Horizontal dimension processed,(see Code table 4.220),,4.220,,Experimental,Original
grib2/4/1002/24,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",24,1,Treatment of missing data (e.g. below ground),(see Code table 4.221),,4.221,,Experimental,Original
grib2/4/1002/25,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",25,1,Type of statistical processing,(see Code table 4.10),,4.10,,Experimental,Original
grib2/4/1002/26-29,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",26-29,4,Start of range,,,,,Experimental,Original
grib2/4/1002/30-33,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",30-33,4,End of range,,,,,Experimental,Original
grib2/4/1002/34-35,"cross-section of analysis and forecast, averaged or otherwise statistically processed over latitude or longitude",34-35,2,Number of values,,,,,Experimental,Original
