ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/88/10,analysis or forecast at a horizontal level or in a horizontal layer at a local time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/88/11,analysis or forecast at a horizontal level or in a horizontal layer at a local time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/88/12,analysis or forecast at a horizontal level or in a horizontal layer at a local time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/88/13,analysis or forecast at a horizontal level or in a horizontal layer at a local time,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/88/14,analysis or forecast at a horizontal level or in a horizontal layer at a local time,14,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/88/15,analysis or forecast at a horizontal level or in a horizontal layer at a local time,15,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/88/16,analysis or forecast at a horizontal level or in a horizontal layer at a local time,16,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/88/17-20,analysis or forecast at a horizontal level or in a horizontal layer at a local time,17-20,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/88/21,analysis or forecast at a horizontal level or in a horizontal layer at a local time,21,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/88/22,analysis or forecast at a horizontal level or in a horizontal layer at a local time,22,1,Scale factor of second fixed surface,,,,,Operational,Original
grib2/4/88/23-26,analysis or forecast at a horizontal level or in a horizontal layer at a local time,23-26,4,Scaled value of second fixed surface,,,,,Operational,Original
grib2/4/88/27,analysis or forecast at a horizontal level or in a horizontal layer at a local time,27,1,Method used to derive the data field values at the local time specified in section 1,(see Code table 4.248),,4.248,,Operational,Original
grib2/4/88/28,analysis or forecast at a horizontal level or in a horizontal layer at a local time,28,1,n - number of analyses or forecasts used to create the composite data field at the local time specified in section 1 (n >= 1),,,,,Operational,Original
grib2/4/88//1,analysis or forecast at a horizontal level or in a horizontal layer at a local time,,,Octets 29-46 Specification of the analysis or forecast used in the processing (n = 1),,,,,Operational,Original
grib2/4/88/29-30,analysis or forecast at a horizontal level or in a horizontal layer at a local time,29-30,2,Year of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/31,analysis or forecast at a horizontal level or in a horizontal layer at a local time,31,1,Month of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/32,analysis or forecast at a horizontal level or in a horizontal layer at a local time,32,1,Day of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/33,analysis or forecast at a horizontal level or in a horizontal layer at a local time,33,1,Hour of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/34,analysis or forecast at a horizontal level or in a horizontal layer at a local time,34,1,Minute of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/35,analysis or forecast at a horizontal level or in a horizontal layer at a local time,35,1,Second of the analysis or forecast used in the processing,,,,,Operational,Original
grib2/4/88/36,analysis or forecast at a horizontal level or in a horizontal layer at a local time,36,1,Indicator of units of forecast time,(see Note and Code table 4.4),70,4.4,,Operational,Original
grib2/4/88/37-40,analysis or forecast at a horizontal level or in a horizontal layer at a local time,37-40,4,Forecast time,(see Note),70,,,Operational,Original
grib2/4/88/41,analysis or forecast at a horizontal level or in a horizontal layer at a local time,41,1,Number of time increments of the forecast used in the processing,,,,,Operational,Original
grib2/4/88/42,analysis or forecast at a horizontal level or in a horizontal layer at a local time,42,1,Indicator of units of time for the time increments,,,,,Operational,Original
grib2/4/88/43-46,analysis or forecast at a horizontal level or in a horizontal layer at a local time,43-46,4,Time increments between successive forecast times,,,,,Operational,Original
grib2/4/88//2,analysis or forecast at a horizontal level or in a horizontal layer at a local time,,,Octets 47-nn are included only if n > 1 where nn = 28 + 18 x n,,,,,Operational,Original
grib2/4/88/47-nn,analysis or forecast at a horizontal level or in a horizontal layer at a local time,47-nn,,(n-1) repetitions of sequence of octets 29-46 describing the next analyses or forecasts used in the processing,,,,,Operational,Original
