ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/80/10,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,na
grib2/4/80/11,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,na
grib2/4/80/12-13,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,12-13,2,Aerosol type,(see Common Code table C-14),,CCT-14,,Operational,na
grib2/4/80/14,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,14,1,Source or sink,(see Code table 4.238),,4.238,,Operational,na
grib2/4/80/15,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,15,1,Type of interval for first and second size,(see Code table 4.91),,4.91,,Operational,na
grib2/4/80/16,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,16,1,Scale factor of first size,,,,,Operational,na
grib2/4/80/17-20,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,17-20,4,Scaled value of first size in metres,,,,,Operational,na
grib2/4/80/21,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,21,1,Scale factor of second size,,,,,Operational,na
grib2/4/80/22-25,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,22-25,4,Scaled value of second size in metres,,,,,Operational,na
grib2/4/80/26,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,26,1,Type of interval for first and second wavelength,(see Code table 4.91),,4.91,,Operational,na
grib2/4/80/27,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,27,1,Scale factor of first wavelength,,,,,Operational,na
grib2/4/80/28-31,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,28-31,4,Scaled value of first wavelength in metres,,,,,Operational,na
grib2/4/80/32,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,32,1,Scale factor of second wavelength,,,,,Operational,na
grib2/4/80/33-36,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,33-36,4,Scaled value of second wavelength in metres,,,,,Operational,na
grib2/4/80/37,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,37,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,na
grib2/4/80/38,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,38,1,Background generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/80/39,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,39,1,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/80/40-41,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,40-41,2,Hours of observational data cut-off after reference time,(see Note),33,,,Operational,na
grib2/4/80/42,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,42,1,Minutes of observational data cut-off after reference time,,,,,Operational,na
grib2/4/80/43,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,43,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,na
grib2/4/80/44-47,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,44-47,4,Forecast time in units defined by octet 43,,,,,Operational,na
grib2/4/80/48,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,48,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/80/49,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,49,1,Scale factor of first fixed surface,,,,,Operational,na
grib2/4/80/50-53,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,50-53,4,Scaled value of first fixed surface,,,,,Operational,na
grib2/4/80/54,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,54,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/80/55,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,55,1,Scale factor of second fixed surface,,,,,Operational,na
grib2/4/80/56-59,analysis or forecast at a horizontal level or in a horizontal layer at a point in time for optical properties of aerosol with source or sink,56-59,4,Scaled value of second fixed surface,,,,,Operational,na
