ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/51/10,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/51/11,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/51/12,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/51/13,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/51/14,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/51/15-16,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,15-16,2,Hours after reference time of data cut-off,(see Note),33,,,Operational,Original
grib2/4/51/17,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,17,1,Minutes after reference time of data cut-off,,,,,Operational,Original
grib2/4/51/18,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
grib2/4/51/19-22,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,19-22,4,Forecast time in units defined by octet 18,,,,,Operational,Original
grib2/4/51/23,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/51/24,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,24,1,Scale factor of first fixed surface,,,,,Operational,Original
grib2/4/51/25-28,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,25-28,4,Scaled value of first fixed surface,,,,,Operational,Original
grib2/4/51/29,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,Original
grib2/4/51/30,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,30,1,Scale factor of second fixed surface,,,,,Operational,Original
grib2/4/51/31-34,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,31-34,4,Scaled value of second fixed surface,,,,,Operational,Original
grib2/4/51/35,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,35,1,NC - number of categories,,,,,Operational,Original
grib2/4/51//1,categorical forecasts at a horizontal level or in a horizontal layer at a point in time,,,"36-   Repeat the following 12 octets for each category (i = 1,NC)",,,,,Operational,Original
grib2/4/51/(36+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(36+12(i-1)),,Code figure,,,,,Operational,Original
grib2/4/51/(37+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(37+12(i-1)),,Type of interval for first and second limits,(see Code table 4.91),,4.91,,Operational,Original
grib2/4/51/(38+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(38+12(i-1)),,Scale factor of first limit,,,,,Operational,Original
grib2/4/51/(39+12(i-1))-(42+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(39+12(i-1))-(42+12(i-1)),,Scaled value of first limit,,,,,Operational,Original
grib2/4/51/(43+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(43+12(i-1)),,Scale factor of second limit,,,,,Operational,Original
grib2/4/51/(44+12(i-1))-(47+12(i-1)),categorical forecasts at a horizontal level or in a horizontal layer at a point in time,(44+12(i-1))-(47+12(i-1)),,Scaled value of second limit,,,,,Operational,Original
