ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/5/10,probability forecasts at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,na
grib2/4/5/11,probability forecasts at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,na
grib2/4/5/12,probability forecasts at a horizontal level or in a horizontal layer at a point in time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,na
grib2/4/5/13,probability forecasts at a horizontal level or in a horizontal layer at a point in time,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/5/14,probability forecasts at a horizontal level or in a horizontal layer at a point in time,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,na
grib2/4/5/15-16,probability forecasts at a horizontal level or in a horizontal layer at a point in time,15-16,2,Hours after reference time of data cut-off,(see Note),33,,,Operational,na
grib2/4/5/17,probability forecasts at a horizontal level or in a horizontal layer at a point in time,17,1,Minutes after reference time of data cut-off,,,,,Operational,na
grib2/4/5/18,probability forecasts at a horizontal level or in a horizontal layer at a point in time,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,na
grib2/4/5/19-22,probability forecasts at a horizontal level or in a horizontal layer at a point in time,19-22,4,Forecast time in units defined by octet 18,,,,,Operational,na
grib2/4/5/23,probability forecasts at a horizontal level or in a horizontal layer at a point in time,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/5/24,probability forecasts at a horizontal level or in a horizontal layer at a point in time,24,1,Scale factor of first fixed surface,,,,,Operational,na
grib2/4/5/25-28,probability forecasts at a horizontal level or in a horizontal layer at a point in time,25-28,4,Scaled value of first fixed surface,,,,,Operational,na
grib2/4/5/29,probability forecasts at a horizontal level or in a horizontal layer at a point in time,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,na
grib2/4/5/30,probability forecasts at a horizontal level or in a horizontal layer at a point in time,30,1,Scale factor of second fixed surface,,,,,Operational,na
grib2/4/5/31-34,probability forecasts at a horizontal level or in a horizontal layer at a point in time,31-34,4,Scaled value of second fixed surface,,,,,Operational,na
grib2/4/5/35,probability forecasts at a horizontal level or in a horizontal layer at a point in time,35,1,Forecast probability number,,,,,Operational,na
grib2/4/5/36,probability forecasts at a horizontal level or in a horizontal layer at a point in time,36,1,Total number of forecast probabilities,,,,,Operational,na
grib2/4/5/37,probability forecasts at a horizontal level or in a horizontal layer at a point in time,37,1,Probability type,(see Code table 4.9),,4.9,,Operational,na
grib2/4/5/38,probability forecasts at a horizontal level or in a horizontal layer at a point in time,38,1,Scale factor of lower limit,,,,,Operational,na
grib2/4/5/39-42,probability forecasts at a horizontal level or in a horizontal layer at a point in time,39-42,4,Scaled value of lower limit,,,,,Operational,na
grib2/4/5/43,probability forecasts at a horizontal level or in a horizontal layer at a point in time,43,1,Scale factor of upper limit,,,,,Operational,na
grib2/4/5/44-47,probability forecasts at a horizontal level or in a horizontal layer at a point in time,44-47,4,Scaled value of upper limit,,,,,Operational,na
