ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/119/10,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,PDF
grib2/4/119/11,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,PDF
grib2/4/119/12,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,12,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,PDF
grib2/4/119/13,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,13,1,Background generating process identifier (defined by originating centre),,,,,Operational,PDF
grib2/4/119/14,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,14,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,PDF
grib2/4/119/15-16,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,15-16,2,Hours after reference time of data cut-off,(see Note),33,,,Operational,PDF
grib2/4/119/17,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,17,1,Minutes after reference time of data cut-off,,,,,Operational,PDF
grib2/4/119/18,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,18,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,PDF
grib2/4/119/19-22,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,19-22,4,Forecast time in units defined by octet 18,,,,,Operational,PDF
grib2/4/119/23,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,23,1,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational,PDF
grib2/4/119/24,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,24,1,Scale factor of first fixed surface,,,,,Operational,PDF
grib2/4/119/25-28,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,25-28,4,Scaled value of first fixed surface,,,,,Operational,PDF
grib2/4/119/29,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,29,1,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational,PDF
grib2/4/119/30,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,30,1,Scale factor of second fixed surface,,,,,Operational,PDF
grib2/4/119/31-34,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,31-34,4,Scaled value of second fixed surface,,,,,Operational,PDF
grib2/4/119/35,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,35,1,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational,PDF
grib2/4/119/36-39,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,36-39,4,Number of forecasts in ensemble,,,,,Operational,PDF
grib2/4/119/40,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,40,1,Forecast probability number,,,,,Operational,PDF
grib2/4/119/41,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,41,1,Total number of forecast probabilities,,,,,Operational,PDF
grib2/4/119/42,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,42,1,Probability type,(see Code table 4.9),,4.9,,Operational,PDF
grib2/4/119/43,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,43,1,Scale factor of lower limit,,,,,Operational,PDF
grib2/4/119/44-47,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,44-47,4,Scaled value of lower limit,,,,,Operational,PDF
grib2/4/119/48,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,48,1,Scale factor of upper limit,,,,,Operational,PDF
grib2/4/119/49-52,Probability forecasts from large ensemble at a horizontal level or in a horizontal layer at a point in time,49-52,4,Scaled value of upper limit,,,,,Operational,PDF
