id,Content_ru
GRIB/2/template/7.53/notes/1,"WGS-84 является геодезической системой, использующей IAG–GRS80 в качестве основы."
GRIB/2/template/7.53/notes/2,"В том, что касается кодовых цифр 0, 1, 3, 6 и 7, координаты могут однозначно интерпретироваться лишь тогда,
когда известна координатная система отсчета, в которую они включены. Таким образом, определение формы Земли
отдельно, в отрыве от точек отсчета осей координатной системы, однозначным не является. Как правило, главный
меридиан, определенный в геодезической системе WGS-84, может с уверенностью считаться точкой отсчета долготы.
Однако, поскольку данные кодовые цифры не указывают непосредственно на точку отсчета долготы, предлагается
связываться с центром-поставщиком в случаях, когда необходима высокая точность координат, для получения точных
сведений об используемой системе координат (имеет силу с 16 ноября 2016 г.).
Таблица флагов 3.3 — Флаги разрешения и компонентов
Номер бита Величина Значение"
GRIB/2/template/7.53/notes/1,"Направление i: с запада на восток вдоль параллели или слева-направо вдоль оси x."
GRIB/2/template/7.53/notes/2,"Направление j: с юга на север вдоль меридиана или снизу-вверх вдоль оси y."
GRIB/2/template/7.53/notes/3,"Если бит номер 4 установлен на 1, то сканирование первого ряда определяется с помощью предыдущих флагов."
GRIB/2/template/7.53/notes/4,"La1 и Lo1 определяют первый ряд, который является нечетным рядом."
GRIB/2/template/7.53/notes/5,"Di и Dj принимаются положительными, при направлении i и j, заданном битами 1 и 2."
GRIB/2/template/7.53/notes/6,"Биты с 5 по 8 могут использоваться для создания разнесенных сеток, таких как сетки Аракавы (см. часть B, добавле-
ние II GRIB)."
GRIB/2/template/7.53/notes/7,"Если какие-либо из битов 5, 6, 7 или 8 установлены, то Di и Dj не являются дополнительными.
Таблица флагов 3.5 — Центр проекции
Номер бита Величина Значение"
GRIB/2/template/7.53/notes/1,"В отношении элемента 1 следует отметить, что в зависимости от экстремальных значений (первые/последние) коор-
динат, а также несмотря на битовое отображение, действительное количество точек на один ряд может быть меньше,
чем количество точек на текущем круге."
