ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/0/1/0,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",0,,Specific humidity,,,kg/kg,Operational,Original
grib2/4/2/0/1/1,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",1,,Relative humidity,,,%,Operational,Original
grib2/4/2/0/1/2,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",2,,Humidity mixing ratio,,,kg/kg,Operational,Original
grib2/4/2/0/1/3,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",3,,Precipitable water,,,kg m-2,Operational,Original
grib2/4/2/0/1/4,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",4,,Vapour pressure,,,Pa,Operational,Original
grib2/4/2/0/1/5,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",5,,Saturation deficit,,,Pa,Operational,Original
grib2/4/2/0/1/6,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",6,,Evaporation,,,kg m-2,Operational,Original
grib2/4/2/0/1/7,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",7,,Precipitation rate,(see Note 1),1,kg m-2 s-1,Deprecated,Original
grib2/4/2/0/1/8,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",8,,Total precipitation,(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/9,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",9,,Large-scale precipitation (non-convective),(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/10,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",10,,Convective precipitation,(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/11,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",11,,Snow depth,,,m,Operational,Original
grib2/4/2/0/1/12,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",12,,Snowfall rate water equivalent,(see Note 1),1,kg m-2 s-1,Deprecated,Original
grib2/4/2/0/1/13,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",13,,Water equivalent of accumulated snow depth,(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/14,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",14,,Convective snow,(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/15,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",15,,Large-scale snow,(see Note 3),2,kg m-2,Deprecated,Original
grib2/4/2/0/1/16,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",16,,Snow melt,(see Note 7),16,kg m-2,Operational,Original
grib2/4/2/0/1/17,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",17,,Snow age,,,d,Operational,Original
grib2/4/2/0/1/18,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",18,,Absolute humidity,,,kg m-3,Operational,Original
grib2/4/2/0/1/19,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",19,,Precipitation type,,,(Code table 4.201),Operational,Original
grib2/4/2/0/1/20,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",20,,Integrated liquid water,,,kg m-2,Operational,Original
grib2/4/2/0/1/21,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",21,,Condensate,,,kg/kg,Operational,Original
grib2/4/2/0/1/22,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 1: moisture",22,,Cloud mixing ratio,,,kg/kg,Operational,Original
