ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/0/20/0,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",0,,Mass density (concentration),,,kg m-3,Operational,Original
grib2/4/2/0/20/1,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",1,,Column-integrated mass density,(see Note 1),5,kg m-2,Operational,Original
grib2/4/2/0/20/2,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",2,,Mass mixing ratio (mass fraction in air),,,kg/kg,Operational,Original
grib2/4/2/0/20/3,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",3,,Atmosphere emission mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/4,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",4,,Atmosphere net production mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/5,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",5,,Atmosphere net production and emission mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/6,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",6,,Surface dry deposition mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/7,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",7,,Surface wet deposition mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/8,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",8,,Atmosphere re-emission mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/9,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",9,,Wet deposition by large-scale precipitation mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/10,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",10,,Wet deposition by convective precipitation mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/11,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",11,,Sedimentation mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/12,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",12,,Dry deposition mass flux,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/13,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",13,,Transfer from hydrophobic to hydrophilic,,,kg kg-1 s-1,Operational,Original
grib2/4/2/0/20/14,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",14,,Transfer from SO2 (sulphur dioxide) to SO4 (sulphate),,,kg kg-1 s-1,Operational,Original
grib2/4/2/0/20/15,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",15,,Dry deposition velocity,,,m/s,Operational,Original
grib2/4/2/0/20/16,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",16,,Mass mixing ratio with respect to dry air,,,kg/kg,Operational,Original
grib2/4/2/0/20/17,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",17,,Mass mixing ratio with respect to wet air,,,kg/kg,Operational,Original
grib2/4/2/0/20/18,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",18,,Potential of hydrogen (pH),,,pH,Operational,Original
grib2/4/2/0/20/19,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",19,,Loss rate due to reaction with hydroxyl radical (OH),,,kg kg-1 s-1,Operational,Original
grib2/4/2/0/20/20-49,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",20-49,,Reserved,,,,Operational,Original
grib2/4/2/0/20/50,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",50,,Amount in atmosphere,,,mol,Operational,Original
grib2/4/2/0/20/51,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",51,,Concentration in air,,,mol m-3,Operational,Original
grib2/4/2/0/20/52,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",52,,Volume mixing ratio (fraction in air),,,mol/mol,Operational,Original
grib2/4/2/0/20/53,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",53,,Chemical gross production rate of concentration,,,mol m-3 s-1,Operational,Original
grib2/4/2/0/20/54,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",54,,Chemical gross destruction rate of concentration,,,mol m-3 s-1,Operational,Original
grib2/4/2/0/20/55,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",55,,Surface flux,,,mol m-2 s-1,Operational,Original
grib2/4/2/0/20/56,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",56,,Changes of amount in atmosphere,(see Note 1),5,mol/s,Operational,Original
grib2/4/2/0/20/57,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",57,,Total yearly average burden of the atmosphere,,,mol,Operational,Original
grib2/4/2/0/20/58,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",58,,Total yearly averaged atmospheric loss,(see Note 1),5,mol/s,Operational,Original
grib2/4/2/0/20/59,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",59,,Aerosol number concentration,(see Note 2),20,m-3,Operational,Original
grib2/4/2/0/20/60,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",60,,Aerosol specific number concentration,(see Note 2),20,kg-1,Operational,Original
grib2/4/2/0/20/61,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",61,,Maximum of mass density in layer,(see Note 1),5,kg m-3,Operational,Original
grib2/4/2/0/20/62,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",62,,Height of maximum mass density,,,m,Operational,Original
grib2/4/2/0/20/63,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",63,,Column-averaged mass density in layer,,,kg m-3,Operational,Original
grib2/4/2/0/20/64,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",64,,Mole fraction with respect to dry air,,,mol/mol,Operational,Original
grib2/4/2/0/20/65,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",65,,Mole fraction with respect to wet air,,,mol/mol,Operational,Original
grib2/4/2/0/20/66,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",66,,Column-integrated in-cloud scavenging rate by precipitation,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/67,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",67,,Column-integrated below-cloud scavenging rate by precipitation,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/68,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",68,,Column-integrated release rate from evaporating precipitation,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/69,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",69,,Column-integrated in-cloud scavenging rate by large-scale precipitation,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/70,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",70,,Column-integrated below-cloud scavenging rate by large-scale precipitation,,,kg m-2 s-1,Operational,Original
grib2/4/2/0/20/71,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 20: atmospheric chemical constituents",71,,Column-integrated release rate from evaporating large-scale precipitation,,,kg m-2 s-1,Operational,Original
