ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/1/0/0,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",0,,Flash flood guidance (Encoded as an accumulation over a floating subinterval of time between the reference time and valid time),,,kg m-2,Operational,na
grib2/4/2/1/0/1,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",1,,Flash flood runoff (Encoded as an accumulation over a floating subinterval of time),,,kg m-2,Operational,na
grib2/4/2/1/0/2,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",2,,Remotely-sensed snow cover,(see Note 1),73,(Code table 4.215),Operational,na
grib2/4/2/1/0/3,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",3,,Elevation of snow-covered terrain,(see Note 2),25,(Code table 4.216),Operational,na
grib2/4/2/1/0/4,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",4,,Snow water equivalent per cent of normal,(see Note 3),77,%,Operational,na
grib2/4/2/1/0/5,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",5,,Baseflow-groundwater runoff,,,kg m-2,Operational,na
grib2/4/2/1/0/6,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",6,,Storm surface runoff,,,kg m-2,Operational,na
grib2/4/2/1/0/7,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",7,,Discharge from rivers or streams,,,m3/s,Operational,na
grib2/4/2/1/0/8,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",8,,Groundwater upper storage,,,kg m-2,Operational,na
grib2/4/2/1/0/9,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",9,,Groundwater lower storage,,,kg m-2,Operational,na
grib2/4/2/1/0/10,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",10,,Side flow into river channel,,,m3 s-1 m-1,Operational,na
grib2/4/2/1/0/11,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",11,,River storage of water,,,m3,Operational,na
grib2/4/2/1/0/12,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",12,,Floodplain storage of water,,,m3,Operational,na
grib2/4/2/1/0/13,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",13,,Water on soil surface,,,kg m-2,Operational,na
grib2/4/2/1/0/14,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",14,,Upstream accumulated precipitation,,,kg m-2,Operational,na
grib2/4/2/1/0/15,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",15,,Upstream accumulated snow melt,(see Note 4),16,kg m-2,Operational,na
grib2/4/2/1/0/16,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",16,,Percolation rate,,,kg m-2 s-1,Operational,na
grib2/4/2/1/0/17,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",17,,River outflow of water,,,m3 s-1,Operational,na
grib2/4/2/1/0/18,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",18,,Floodplain outflow of water,,,m3 s-1,Operational,na
grib2/4/2/1/0/19,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",19,,Floodpath outflow of water,,,m3 s-1,Operational,na
grib2/4/2/1/0/20,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",20,,Water on surface,,,kg m-2,Operational,na
grib2/4/2/1/0/21,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",21,,Water surface elevation,(see Note 5),186,m,Operational,na
grib2/4/2/1/0/22,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",22,,Groundwater return flow rate,(see Note 6),187,m3 s-1,Operational,na
grib2/4/2/1/0/23,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",23,,River and floodplain storage,(see Note 7),188,m3,Operational,na
grib2/4/2/1/0/24,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",24,,Depth averaged river velocity,(see Note 8),189,m s-1,Operational,na
grib2/4/2/1/0/25-191,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",25-191,,Reserved,,,,Operational,na
grib2/4/2/1/0/192-254,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",192-254,,Reserved for local use,,,,Operational,na
grib2/4/2/1/0/255,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products",255,,Missing,,,,Operational,na
