ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/20/4/0,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",0,,Reserved,,,-,Operational,na
grib2/4/2/20/4/1,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",1,,Downburst,,,Code table 4.253,Operational,na
grib2/4/2/20/4/2,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",2,,Lightning (electrical storm),,,Code table 4.253,Operational,na
grib2/4/2/20/4/3,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",3,,Thunderstorm,,,Code table 4.253,Operational,na
grib2/4/2/20/4/4,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",4,,Coastal flood,,,Code table 4.253,Operational,na
grib2/4/2/20/4/5,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",5,,Estuarine (coastal) flood,,,Code table 4.253,Operational,na
grib2/4/2/20/4/6,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",6,,Flash flood,,,Code table 4.253,Operational,na
grib2/4/2/20/4/7,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",7,,Fluvial (riverine) flood,,,Code table 4.253,Operational,na
grib2/4/2/20/4/8,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",8,,Groundwater flood,,,Code table 4.253,Operational,na
grib2/4/2/20/4/9,Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: meteorological and hydrological hazard indices",9,,Ice-jam flood including debris,,,Code table 4.253,Operational,na
