ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/0/4/0,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",0,,Net short-wave radiation flux (surface),(see Note 1),1,W m-2,Deprecated,Original
grib2/4/2/0/4/1,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",1,,Net short-wave radiation flux (top of atmosphere),(see Note 1),1,W m-2,Deprecated,Original
grib2/4/2/0/4/2,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",2,,Short-wave radiation flux,(see Note 1),1,W m-2,Deprecated,Original
grib2/4/2/0/4/3,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",3,,Global radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/4,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",4,,Brightness temperature,,,K,Operational,Original
grib2/4/2/0/4/5,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",5,,Radiance (with respect to wave number),,,W m-1 sr-1,Operational,Original
grib2/4/2/0/4/6,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",6,,Radiance (with respect to wavelength),,,W m-3 sr-1,Operational,Original
grib2/4/2/0/4/7,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",7,,Downward short-wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/8,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",8,,Upward short-wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/9,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",9,,Net short wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/10,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",10,,Photosynthetically active radiation,,,W m-2,Operational,Original
grib2/4/2/0/4/11,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",11,,"Net short-wave radiation flux, clear sky",,,W m-2,Operational,Original
grib2/4/2/0/4/12,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",12,,Downward UV radiation,,,W m-2,Operational,Original
grib2/4/2/0/4/13,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",13,,Direct short-wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/14,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",14,,Diffuse short-wave radiation flux,,,W m-2,Operational,Original
grib2/4/2/0/4/15,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",15,,Upward UV radiation emitted/reflected from the Earth's surface,,,W m-2,Operational,Original
grib2/4/2/0/4/16-49,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",16-49,,Reserved,,,,Operational,Original
grib2/4/2/0/4/50,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",50,,UV index (under clear sky),(see Note 2),24,Numeric,Operational,Original
grib2/4/2/0/4/51,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",51,,UV index,(see Note 2),24,Numeric,Operational,Original
grib2/4/2/0/4/52,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",52,,"Downward short-wave radiation flux, clear sky",,,W m-2,Operational,Original
grib2/4/2/0/4/53,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",53,,"Upward short-wave radiation flux, clear sky",,,W m-2,Operational,Original
grib2/4/2/0/4/54,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",54,,Direct normal short-wave radiation flux,(see Note 3),69,W m-2,Operational,Original
grib2/4/2/0/4/55,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",55,,UV visible albedo for diffuse radiation,,,%,Operational,Original
grib2/4/2/0/4/56,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",56,,UV visible albedo for direct radiation,,,%,Operational,Original
grib2/4/2/0/4/57,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",57,,"UV visible albedo for direct radiation, geometric component",,,%,Operational,Original
grib2/4/2/0/4/58,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",58,,"UV visible albedo for direct radiation, isotropic component",,,%,Operational,Original
grib2/4/2/0/4/59,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",59,,"UV visible albedo for direct radiation, volumetric component",,,%,Operational,Original
grib2/4/2/0/4/60,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",60,,"Photosynthetically active radiation flux, clear sky",,,W m-2,Operational,Original
grib2/4/2/0/4/61,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",61,,"Direct short-wave radiation flux, clear sky",,,W m-2,Operational,Original
grib2/4/2/0/4/62,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",62,,"Direct normal short-wave radiation flux, clear sky",(see Note 3),69,W m-2,Operational,Original
grib2/4/2/0/4/63,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",63,,"Diffuse short-wave radiation flux, clear sky",,,W m-2,Operational,Original
