ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/3/0,Type of generating process,,0,,Analysis,,,,Operational,na
grib2/4/3/1,Type of generating process,,1,,Initialization,,,,Operational,na
grib2/4/3/2,Type of generating process,,2,,Forecast,,,,Operational,na
grib2/4/3/3,Type of generating process,,3,,Bias corrected forecast,,,,Operational,na
grib2/4/3/4,Type of generating process,,4,,Ensemble forecast,,,,Operational,na
grib2/4/3/5,Type of generating process,,5,,Probability forecast,,,,Operational,na
grib2/4/3/6,Type of generating process,,6,,Forecast error,,,,Operational,na
grib2/4/3/7,Type of generating process,,7,,Analysis error,,,,Operational,na
grib2/4/3/8,Type of generating process,,8,,Observation,,,,Operational,na
grib2/4/3/9,Type of generating process,,9,,Climatological,,,,Operational,na
grib2/4/3/10,Type of generating process,,10,,Probability-weighted forecast,,,,Operational,na
grib2/4/3/11,Type of generating process,,11,,Bias-corrected ensemble forecast,,,,Operational,na
grib2/4/3/12,Type of generating process,,12,,Post-processed analysis,(see Note 1),13,,Operational,na
grib2/4/3/13,Type of generating process,,13,,Post-processed forecast,(see Note 1),13,,Operational,na
grib2/4/3/14,Type of generating process,,14,,Nowcast,,,,Operational,na
grib2/4/3/15,Type of generating process,,15,,Hindcast,,,,Operational,na
grib2/4/3/16,Type of generating process,,16,,Physical retrieval,,,,Operational,na
grib2/4/3/17,Type of generating process,,17,,Regression analysis,,,,Operational,na
grib2/4/3/18,Type of generating process,,18,,Difference between two forecasts,,,,Operational,na
grib2/4/3/19,Type of generating process,,19,,First guess,,,,Operational,na
grib2/4/3/20,Type of generating process,,20,,Analysis increment,(see Note 2),29,,Operational,na
grib2/4/3/21,Type of generating process,,21,,Initialization increment for analysis,(see Note 3),61,,Operational,na
grib2/4/3/22,Type of generating process,,22,,Blended forecast,(See Note 4),159,,Operational,na
grib2/4/3/23,Type of generating process,,23,,Anomaly,(see Note 5),166,,Operational,na
grib2/4/3/24-191,Type of generating process,,24-191,,Reserved,,,,Operational,na
grib2/4/3/192-254,Type of generating process,,192-254,,Reserved for local use,,,,Operational,na
grib2/4/3/255,Type of generating process,,255,,Missing,,,,Operational,na
