ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/0/3/0,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",0,,Pressure,,,Pa,Operational,Original
grib2/4/2/0/3/1,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",1,,Pressure reduced to MSL,,,Pa,Operational,Original
grib2/4/2/0/3/2,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",2,,Pressure tendency,,,Pa/s,Operational,Original
grib2/4/2/0/3/3,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",3,,ICAO Standard Atmosphere Reference Height,,,m,Operational,Original
grib2/4/2/0/3/4,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",4,,Geopotential,,,m2 s-2,Operational,Original
grib2/4/2/0/3/5,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",5,,Geopotential height,,,gpm,Operational,Original
grib2/4/2/0/3/6,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",6,,Geometric height,(see Note),124,m,Operational,Original
grib2/4/2/0/3/7,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",7,,Standard deviation of height,,,m,Operational,Original
grib2/4/2/0/3/8,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",8,,Pressure anomaly,,,Pa,Operational,Original
grib2/4/2/0/3/9,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",9,,Geopotential height anomaly,,,gpm,Operational,Original
grib2/4/2/0/3/10,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",10,,Density,,,kg m-3,Operational,Original
grib2/4/2/0/3/11,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",11,,Altimeter setting,,,Pa,Operational,Original
grib2/4/2/0/3/12,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",12,,Thickness,,,m,Operational,Original
grib2/4/2/0/3/13,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",13,,Pressure altitude,,,m,Operational,Original
grib2/4/2/0/3/14,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",14,,Density altitude,,,m,Operational,Original
grib2/4/2/0/3/15,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",15,,5-wave geopotential height,,,gpm,Operational,Original
grib2/4/2/0/3/16,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",16,,Zonal flux of gravity wave stress,,,N m-2,Operational,Original
grib2/4/2/0/3/17,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",17,,Meridional flux of gravity wave stress,,,N m-2,Operational,Original
grib2/4/2/0/3/18,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",18,,Planetary boundary layer height,,,m,Operational,Original
grib2/4/2/0/3/19,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",19,,5-wave geopotential height anomaly,,,gpm,Operational,Original
grib2/4/2/0/3/20,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 3: mass",20,,Standard deviation of subgrid-scale orography,,,m,Operational,Original
