ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/3/1/0,Grid definition template number,,0,,Latitude/longitude,(see Note 1),27,,Operational,Original
grib2/3/1/1,Grid definition template number,,1,,Rotated latitude/longitude,,,,Operational,Original
grib2/3/1/2,Grid definition template number,,2,,Stretched latitude/longitude,,,,Operational,Original
grib2/3/1/3,Grid definition template number,,3,,Stretched and rotated latitude/longitude,,,,Operational,Original
grib2/3/1/4,Grid definition template number,,4,,Variable resolution latitude/longitude,,,,Operational,Original
grib2/3/1/5,Grid definition template number,,5,,Variable resolution rotated latitude/longitude,,,,Operational,Original
grib2/3/1/6-9,Grid definition template number,,6-9,,Reserved,,,,Operational,Original
grib2/3/1/10,Grid definition template number,,10,,Mercator,,,,Operational,Original
grib2/3/1/11,Grid definition template number,,11,,Reserved,,,,Operational,Original
grib2/3/1/12,Grid definition template number,,12,,Transverse Mercator,,,,Operational,Original
grib2/3/1/13,Grid definition template number,,13,,Mercator with modelling subdomains definition,,,,Operational,Original
grib2/3/1/14-19,Grid definition template number,,14-19,,Reserved,,,,Operational,Original
grib2/3/1/20,Grid definition template number,,20,,Polar stereographic projection,(see Note 2),36,,Operational,Original
grib2/3/1/21-22,Grid definition template number,,21-22,,Reserved,,,,Operational,Original
grib2/3/1/23,Grid definition template number,,23,,Polar stereographic with modelling subdomains definition,,,,Operational,Original
grib2/3/1/24-29,Grid definition template number,,24-29,,Reserved,,,,Operational,Original
grib2/3/1/30,Grid definition template number,,30,,Lambert conformal,(see Note 3),35,,Operational,Original
grib2/3/1/31,Grid definition template number,,31,,Albers equal area,,,,Operational,Original
grib2/3/1/32,Grid definition template number,,32,,Reserved,,,,Operational,Original
grib2/3/1/33,Grid definition template number,,33,,Lambert conformal with modelling subdomains definition,,,,Operational,Original
grib2/3/1/34-39,Grid definition template number,,34-39,,Reserved,,,,Operational,Original
grib2/3/1/40,Grid definition template number,,40,,Gaussian latitude/longitude,,,,Operational,Original
grib2/3/1/41,Grid definition template number,,41,,Rotated Gaussian latitude/longitude,,,,Operational,Original
grib2/3/1/42,Grid definition template number,,42,,Stretched Gaussian latitude/longitude,,,,Operational,Original
grib2/3/1/43,Grid definition template number,,43,,Stretched and rotated Gaussian latitude/longitude,,,,Operational,Original
grib2/3/1/44-49,Grid definition template number,,44-49,,Reserved,,,,Operational,Original
grib2/3/1/50,Grid definition template number,,50,,Spherical harmonic coefficients,,,,Operational,Original
grib2/3/1/51,Grid definition template number,,51,,Rotated spherical harmonic coefficients,,,,Operational,Original
grib2/3/1/52,Grid definition template number,,52,,Stretched spherical harmonic coefficients,,,,Operational,Original
grib2/3/1/53,Grid definition template number,,53,,Stretched and rotated spherical harmonic coefficients,,,,Operational,Original
grib2/3/1/54-60,Grid definition template number,,54-60,,Reserved,,,,Operational,Original
grib2/3/1/61,Grid definition template number,,61,,Spectral Mercator with modelling subdomains definition,,,,Operational,Original
grib2/3/1/62,Grid definition template number,,62,,Spectral polar stereographic with modelling subdomains definition,,,,Operational,Original
grib2/3/1/63,Grid definition template number,,63,,Spectral Lambert conformal with modelling subdomains definition,,,,Operational,Original
grib2/3/1/64-89,Grid definition template number,,64-89,,Reserved,,,,Operational,Original
grib2/3/1/90,Grid definition template number,,90,,Space view perspective or orthographic,,,,Operational,Original
grib2/3/1/91-99,Grid definition template number,,91-99,,Reserved,,,,Operational,Original
grib2/3/1/100,Grid definition template number,,100,,Triangular grid based on an icosahedron,,,,Operational,Original
grib2/3/1/101,Grid definition template number,,101,,General unstructured grid,,,,Operational,Original
grib2/3/1/102-109,Grid definition template number,,102-109,,Reserved,,,,Operational,Original
grib2/3/1/110,Grid definition template number,,110,,Equatorial azimuthal equidistant projection,,,,Operational,Original
grib2/3/1/111-119,Grid definition template number,,111-119,,Reserved,,,,Operational,Original
grib2/3/1/120,Grid definition template number,,120,,Azimuth-range projection,,,,Operational,Original
grib2/3/1/121-139,Grid definition template number,,121-139,,Reserved,,,,Operational,Original
grib2/3/1/140,Grid definition template number,,140,,Lambert azimuthal equal area projection,,,,Operational,Original
grib2/3/1/141-149,Grid definition template number,,141-149,,Reserved,,,,Operational,Original
grib2/3/1/150,Grid definition template number,,150,,Hierarchical Equal Area isoLatitude Pixelization grid (HEALPix),,,,Operational,Original
grib2/3/1/151-999,Grid definition template number,,151-999,,Reserved,,,,Operational,Original
grib2/3/1/1000,Grid definition template number,,1000,,Cross-section grid with points equally spaced on the horizontal,,,,Experimental,Original
grib2/3/1/1001-1099,Grid definition template number,,1001-1099,,Reserved,,,,Operational,Original
grib2/3/1/1100,Grid definition template number,,1100,,Hovmöller diagram grid with points equally spaced on the horizontal,,,,Experimental,Original
grib2/3/1/1101-1199,Grid definition template number,,1101-1199,,Reserved,,,,Operational,Original
grib2/3/1/1200,Grid definition template number,,1200,,Time section grid,,,,Experimental,Original
grib2/3/1/1201-32767,Grid definition template number,,1201-32767,,Reserved,,,,Operational,Original
grib2/3/1/32768-65534,Grid definition template number,,32768-65534,,Reserved for local use,,,,Operational,Original
grib2/3/1/65535,Grid definition template number,,65535,,Missing,,,,Operational,Original
