ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/1/2/0,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",0,,Water depth,,,m,Operational,Original
grib2/4/2/1/2/1,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",1,,Water temperature,,,K,Operational,Original
grib2/4/2/1/2/2,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",2,,Water fraction,,,Proportion,Operational,Original
grib2/4/2/1/2/3,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",3,,Sediment thickness,,,m,Operational,Original
grib2/4/2/1/2/4,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",4,,Sediment temperature,,,K,Operational,Original
grib2/4/2/1/2/5,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",5,,Ice thickness,,,m,Operational,Original
grib2/4/2/1/2/6,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",6,,Ice temperature,,,K,Operational,Original
grib2/4/2/1/2/7,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",7,,Ice cover,,,Proportion,Operational,Original
grib2/4/2/1/2/8,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",8,,"Land cover (0 = water, 1 = land)",,,Proportion,Operational,Original
grib2/4/2/1/2/9,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",9,,Shape factor with respect to salinity profile,,,-,Operational,Original
grib2/4/2/1/2/10,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",10,,Shape factor with respect to temperature profile in thermocline,,,-,Operational,Original
grib2/4/2/1/2/11,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",11,,Attenuation coefficient of water with respect to solar radiation,,,m-1,Operational,Original
grib2/4/2/1/2/12,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",12,,Salinity,,,kg/kg,Operational,Original
grib2/4/2/1/2/13,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",13,,Cross-sectional area of flow in channel,,,m2,Operational,Original
grib2/4/2/1/2/14,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",14,,Snow temperature,,,K,Operational,Original
grib2/4/2/1/2/15,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",15,,Lake depth,,,m,Operational,Original
grib2/4/2/1/2/16,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",16,,River depth,,,m,Operational,Original
grib2/4/2/1/2/17,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",17,,Floodplain depth,,,m,Operational,Original
grib2/4/2/1/2/18,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",18,,Floodplain flooded fraction,,,proportion,Operational,Original
grib2/4/2/1/2/19,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",19,,Floodplain flooded area,,,m2,Operational,Original
grib2/4/2/1/2/20,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",20,,River fraction,,,proportion,Operational,Original
grib2/4/2/1/2/21,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",21,,River area,,,m2,Operational,Original
grib2/4/2/1/2/22,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",22,,Fraction of river coverage plus river related flooding,,,proportion,Operational,Original
grib2/4/2/1/2/23,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",23,,Area of river coverage plus river related flooding,,,m2,Operational,Original
grib2/4/2/1/2/24-191,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",24-191,,Reserved,,,,Operational,Original
grib2/4/2/1/2/192-254,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",192-254,,Reserved for local use,,,,Operational,Original
grib2/4/2/1/2/255,Parameter number by product discipline and parameter category,"Product discipline 1 - Hydrological products, parameter category 2: inland water and sediment properties",255,,Missing,,,,Operational,Original
