ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/0/5/0,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",0,,Net long-wave radiation flux (surface),(see Note),1,W m-2,Deprecated,na
grib2/4/2/0/5/1,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",1,,Net long-wave radiation flux (top of atmosphere),(see Note),1,W m-2,Deprecated,na
grib2/4/2/0/5/2,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",2,,Long-wave radiation flux,(see Note),1,W m-2,Deprecated,na
grib2/4/2/0/5/3,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",3,,Downward long-wave radiation flux,,,W m-2,Operational,na
grib2/4/2/0/5/4,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",4,,Upward long-wave radiation flux,,,W m-2,Operational,na
grib2/4/2/0/5/5,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",5,,Net long-wave radiation flux,,,W m-2,Operational,na
grib2/4/2/0/5/6,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",6,,"Net long-wave radiation flux, clear sky",,,W m-2,Operational,na
grib2/4/2/0/5/7,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",7,,Brightness temperature,,,K,Operational,na
grib2/4/2/0/5/8,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",8,,"Downward long-wave radiation flux, clear sky",,,W m-2,Operational,na
grib2/4/2/0/5/9,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",9,,Near IR albedo for diffuse radiation,,,%,Operational,na
grib2/4/2/0/5/10,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",10,,Near IR albedo for direct radiation,,,%,Operational,na
grib2/4/2/0/5/11,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",11,,"Near IR albedo for direct radiation, geometric component",,,%,Operational,na
grib2/4/2/0/5/12,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",12,,"Near IR albedo for direct radiation, isotropic component",,,%,Operational,na
grib2/4/2/0/5/13,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",13,,"Near IR albedo for direct radiation, volumetric component",,,%,Operational,na
grib2/4/2/0/5/14-191,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",14-191,,Reserved,,,,Operational,na
grib2/4/2/0/5/192-254,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",192-254,,Reserved for local use,,,,Operational,na
grib2/4/2/0/5/255,Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",255,,Missing,,,,Operational,na
