ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/10/1/0,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",0,,Current direction,,,degree true,Operational,Original
grib2/4/2/10/1/1,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",1,,Current speed,,,m/s,Operational,Original
grib2/4/2/10/1/2,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",2,,u-component of current,,,m/s,Operational,Original
grib2/4/2/10/1/3,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",3,,v-component of current,,,m/s,Operational,Original
grib2/4/2/10/1/4,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",4,,Rip current occurrence probability,,,%,Operational,Original
grib2/4/2/10/1/5,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",5,,Eastward current,,,m s-1,Operational,Original
grib2/4/2/10/1/6,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",6,,Northward current,,,m s-1,Operational,Original
grib2/4/2/10/1/7-191,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",7-191,,Reserved,,,,Operational,Original
grib2/4/2/10/1/192-254,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",192-254,,Reserved for local use,,,,Operational,Original
grib2/4/2/10/1/255,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 1: currents",255,,Missing,,,,Operational,Original
