ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/10/2/0,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",0,,Ice cover,,,Proportion,Operational,Original
grib2/4/2/10/2/1,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",1,,Ice thickness,,,m,Operational,Original
grib2/4/2/10/2/2,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",2,,Direction of ice drift,,,degree true,Operational,Original
grib2/4/2/10/2/3,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",3,,Speed of ice drift,,,m/s,Operational,Original
grib2/4/2/10/2/4,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",4,,u-component of ice drift,,,m/s,Operational,Original
grib2/4/2/10/2/5,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",5,,v-component of ice drift,,,m/s,Operational,Original
grib2/4/2/10/2/6,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",6,,Ice growth rate,,,m/s,Operational,Original
grib2/4/2/10/2/7,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",7,,Ice divergence,,,/s,Operational,Original
grib2/4/2/10/2/8,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",8,,Ice temperature,,,K,Operational,Original
grib2/4/2/10/2/9,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",9,,Module of ice internal pressure,(see Note 1),57,Pa m,Operational,Original
grib2/4/2/10/2/10,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",10,,Zonal vector component of vertically integrated ice internal pressure,,,Pa m,Operational,Original
grib2/4/2/10/2/11,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",11,,Meridional vector component of vertically integrated ice internal pressure,,,Pa m,Operational,Original
grib2/4/2/10/2/12,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",12,,Compressive ice strength,,,N/m,Operational,Original
grib2/4/2/10/2/13,Parameter number by product discipline and parameter category,"Product discipline 10 - Oceanographic products, parameter category 2: ice",13,,Snow temperature (over sea ice),,,K,Operational,Original
