ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/2/0/0,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",0,,"Land cover (0 = sea, 1 = land)",,,Proportion,Operational,na
grib2/4/2/2/0/1,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",1,,Surface roughness,,,m,Operational,na
grib2/4/2/2/0/2,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",2,,Soil temperature,(see Note 3),8,K,Deprecated,na
grib2/4/2/2/0/3,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",3,,Soil moisture content,(see Note 1),1,kg m-2,Deprecated,na
grib2/4/2/2/0/4,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",4,,Vegetation,,,%,Operational,na
grib2/4/2/2/0/5,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",5,,Water runoff,,,kg m-2,Operational,na
grib2/4/2/2/0/6,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",6,,Evapotranspiration,(see Note 6),90,kg-2 s-1,Operational,na
grib2/4/2/2/0/7,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",7,,Model terrain height,,,m,Operational,na
grib2/4/2/2/0/8,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",8,,Land use,,,(Code table 4.212),Operational,na
grib2/4/2/2/0/9,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",9,,Volumetric soil moisture content,(see Note 2),3,Proportion,Deprecated,na
grib2/4/2/2/0/10,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",10,,Ground heat flux,(see Note 1),1,W m-2,Deprecated,na
grib2/4/2/2/0/11,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",11,,Moisture availability,,,%,Operational,na
grib2/4/2/2/0/12,Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",12,,Exchange coefficient,,,kg m-2 s-1,Operational,na
